#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho         
-1.087691998831055384e+00 -8.797899922957297392e-02 -2.591383376756163925e-01 -5.300433575722041796e-02 -8.247164307931918866e-04 8.171616960822593312e-02 8.884595647685450404e-02 1.154271575743800043e-01 3.431918658077305340e-01
-8.257872369262934109e-01 -7.105666004173505357e-02 -5.353633396158388180e-01 -2.261031130703802447e-02 -4.765628283318145038e-03 1.493525916316219004e-01 8.703437018907489442e-02 2.109661430663761217e-01 2.801831774325369562e-01
-5.638824750215315484e-01 -5.138215424322956082e-02 -9.809679054607199911e-01 -1.026702011171593681e-02 -5.585898162914525785e-04 2.729716374865001627e-01 8.645580735560952357e-02 3.855826865668335324e-01 1.799320673415966965e-01
-3.019777131167696860e-01 -1.899513795971508046e-02 -1.593097238822035466e+00 -6.116191389512300874e-02 -8.647137181589717708e-04 4.989100895942188418e-01 8.596325031813419060e-02 7.047292329429362123e-01 8.582261132685055360e-02
-4.007295121200771942e-02 7.355705475660223591e-03 -2.280683466609938037e+00 -2.184630452591350691e-01 1.005163743042832231e-03 9.118576559486750721e-01 8.030766113022763664e-02 1.288033174379201728e+00 2.634080624401307844e-02
2.218318106927542055e-01 1.067565050703100926e-02 -2.841479196082834502e+00 -4.200864389826046708e-01 1.418411310823547683e-04 1.666601662412735996e+00 6.605106193009613325e-02 2.354137420088686650e+00 5.482239495542515738e-03
4.837365725975161235e-01 3.981103143960285085e-02 -3.225565953417911302e+00 -5.992854834105458828e-01 -3.816118811643639847e-04 3.046046806798136330e+00 4.838510637571053624e-02 4.302655477280620921e+00 8.555299134592903596e-04
7.456413345022779859e-01 6.856802389602623116e-02 -3.514398741161756323e+00 -7.226236796585090438e-01 -4.171537267045294199e-04 5.567257826787955111e+00 3.206035748907128807e-02 7.863960700932869585e+00 1.120407063184094860e-04
1.007546096407039737e+00 1.058688533193130610e-01 -3.665641075191225617e+00 -7.936131355163811296e-01 -1.699941020959411025e-03 1.017527361718764034e+01 2.023925557907522640e-02 1.437295601108692189e+01 1.234126472186544674e-05
1.269450858311801600e+00 1.917303806013118672e-01 -3.813606415816268580e+00 -9.185198184953371481e-01 2.670409604991151251e-03 1.859734116973173812e+01 1.231023212109625363e-02 2.626944263240453026e+01 1.346722549350290383e-06
1.531355620216563906e+00 3.207025783681720643e-01 -4.645835064627148903e+00 -1.034421752378854586e+00 6.845541897248337386e-03 3.399034872135383978e+01 6.684441178025257030e-03 4.801264372373233158e+01 1.240955783498398599e-07
1.793260382121325769e+00 6.446033546651093182e-01 -6.308354612811322149e+00 1.295839866901849380e+00 3.470912766019745854e-02 6.212413891076156602e+01 3.535300026596552118e-03 8.775267863881005326e+01 4.963013757363011494e-09
