#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho         
-1.087691998831055384e+00 -2.913923572583554389e-02 -1.010188420513059571e-01 8.854982705725683578e-02 1.378660692888147681e-02 8.171616960822593312e-02 6.097678109711291566e-02 5.155941737709930639e-02 1.210980472151483751e-02
-8.257872369262934109e-01 4.736337359790521173e-02 2.754876928189259680e-03 -3.145595302910695473e-02 -1.746988776546196456e-02 1.493525916316219004e-01 5.742997931153982077e-02 9.423511460712287457e-02 1.178173632981218723e-02
-5.638824750215315484e-01 1.297925342099618407e-01 -3.128442048228882028e-02 -6.721883107335671625e-02 7.607128198359625060e-03 2.729716374865001627e-01 5.870668624315205503e-02 1.722334595068921170e-01 1.215010890581684141e-02
-3.019777131167696860e-01 9.660410856241830047e-02 -2.457589282893284377e-01 -2.481989497185853877e-01 3.817985751485314817e-04 4.989100895942188418e-01 5.295766108793202587e-02 3.147909852647435835e-01 1.134546294693476211e-02
-4.007295121200771942e-02 8.168300755473800745e-02 -8.899976603808310571e-01 -3.636577305777736746e-01 -2.169795623874690160e-03 9.118576559486750721e-01 4.351896851966195051e-02 5.753432851413097238e-01 9.033359693989356787e-03
2.218318106927542055e-01 7.357768369162887012e-02 -2.057096094624904836e+00 -3.575900823465285594e-01 -4.942012701609935048e-04 1.666601662412735996e+00 3.415398735176011086e-02 1.051554559222215302e+00 3.878224727736110083e-03
4.837365725975161235e-01 7.982325383760091597e-02 -2.866101901297254173e+00 -4.763153756783493065e-01 -4.361917395391707859e-04 3.046046806798136330e+00 2.827284436281335064e-02 1.921925604379724151e+00 7.556536383289224994e-04
7.456413345022779859e-01 7.969095735573206163e-02 -3.266280755576362438e+00 -6.488672304479392583e-01 -1.021180310561469557e-03 5.567257826787955111e+00 1.922838827361136177e-02 3.512702214426699499e+00 1.222760776355320291e-04
1.007546096407039737e+00 8.180592533700892233e-02 -3.332774450745268346e+00 -7.046847175117060269e-01 -2.284705379535878830e-06 1.017527361718764034e+01 1.292667016266210202e-02 6.420163620860083853e+00 1.470326587502670472e-05
1.269450858311801600e+00 7.519873170804247664e-02 -3.288490824245968724e+00 -6.851740689310111820e-01 -2.239625422917727881e-04 1.859734116973173812e+01 8.219063140911116519e-03 1.173412899884610816e+01 2.195849146298942899e-06
1.531355620216563906e+00 8.414101803338869257e-02 -3.569604547342830170e+00 -1.082278770359001330e+00 -3.704872736972212644e-04 3.399034872135383978e+01 5.656997212019427602e-03 2.144646016718115078e+01 2.785293706338846609e-07
1.793260382121325769e+00 6.910637429526755859e-02 -3.642322502138791940e+00 -1.041035933119039303e+00 6.377762176271873761e-04 6.212413891076156602e+01 2.227995911200779302e-03 3.919768171525276301e+01 2.963532148651957843e-08
2.055165144026087631e+00 1.853104438926810316e-01 -3.650994075138231487e+00 -4.008439452633539846e-01 4.288485826427601566e-03 1.135442494880611122e+02 1.611689692132155976e-03 7.164157813798357211e+01 3.443402436429705702e-09
2.317069905930849494e+00 3.993806463155844533e-01 -3.599248012398090335e+00 3.859572075195973895e-01 1.134494078295460347e-02 2.075247531450898464e+02 1.373879088857629096e-03 1.309392671583335073e+02 3.625635787062087280e-10
2.578974667835611356e+00 5.506667049763565025e-01 -3.358850062190609442e+00 1.129020808335250425e+00 3.185597377759586540e-02 3.792928603791494879e+02 2.567139619625873146e-03 2.393176159651248440e+02 4.484018492282509630e-11
2.840879429740373219e+00 8.570937768970161574e-01 -3.339314954812100833e+00 1.127645399009507665e+00 6.142502761585643539e-02 6.932333215884656283e+02 5.362167367991539299e-03 4.374006556946420687e+02 6.309377654062718356e-12
3.102784191645135081e+00 9.550278452459747269e-01 -3.709025455125347204e+00 1.100169881138922001e+00 9.293280293847076823e-02 1.267022104450334609e+03 1.000278395657191489e-02 7.994369024216890693e+02 7.989183909407693049e-13
3.364688953549896944e+00 9.814045684808676562e-01 -4.787976185686865449e+00 1.226979511021091263e+00 1.383427688174526937e-01 2.315735500837276959e+03 2.021249041340183322e-02 1.461130322126798546e+03 7.197201567406410405e-14
