#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho         
-1.087691998831055384e+00 3.776627041791463801e-01 5.458165840960566007e-01 2.713521721223131511e+00 5.156892538070678711e-02 8.171616960822593312e-02 2.965421172288748228e-02 8.171616960822593312e-02 6.054902360757419277e-02
-8.257872369262934109e-01 4.337668741190775501e-01 -6.278754550667209333e-01 -1.762150438082355774e-01 7.413470581786273366e-04 1.493525916316219004e-01 2.800542361115756010e-02 1.493525916316219004e-01 2.856178504196894147e-02
-5.638824750215315484e-01 -9.662839066620687589e-03 -4.231796432957322662e-01 -1.004845377665237044e-01 2.122438334983233268e-02 2.729716374865001627e-01 2.397636082618748166e-02 2.729716374865001627e-01 2.839357000985005819e-02
-3.019777131167696860e-01 -3.107611607641080909e-02 -1.179107961030085194e+00 -5.607642921431606198e-02 -7.347014642530872060e-03 4.989100895942188418e-01 2.480889313274222546e-02 4.989100895942188418e-01 1.714430241770181079e-02
-4.007295121200771942e-02 -2.412059709437031074e-03 -1.998540943672928671e+00 -2.043214490467984701e-01 -2.423218491726552692e-03 9.118576559486750721e-01 2.240835097606552057e-02 9.118576559486750721e-01 6.848445776687734840e-03
2.218318106927542055e-01 3.270284981101256871e-02 -2.632152105172502754e+00 -3.174018960157364289e-01 2.603520979159663733e-03 1.666601662412735996e+00 1.939018119336589560e-02 1.666601662412735996e+00 1.539093623317018067e-03
4.837365725975161235e-01 9.152623043466767694e-02 -2.909053780831460045e+00 -5.469991131054491307e-01 1.493465970498452028e-03 3.046046806798136330e+00 1.528099952064877927e-02 3.046046806798136330e+00 2.863160413049500755e-04
7.456413345022779859e-01 6.856936789070566807e-02 -3.039234514435455559e+00 -7.392459778683893035e-01 8.460644453650042031e-04 5.567257826787955111e+00 1.002440310721185862e-02 5.567257826787955111e+00 4.607602053562504370e-05
1.007546096407039737e+00 9.809665539734779838e-02 -3.020793320610212884e+00 -8.060401393560118199e-01 2.920720251103293020e-03 1.017527361718764034e+01 6.265095255387561832e-03 1.017527361718764034e+01 7.325979464900815172e-06
1.269450858311801600e+00 1.283099993407967876e-01 -3.006556498285253287e+00 -8.222698532837078300e-01 3.674156745437382864e-03 1.859734116973173812e+01 3.791813957666814554e-03 1.859734116973173812e+01 1.205465130374270266e-06
1.531355620216563906e+00 2.388479048821369188e-01 -3.087245303207688973e+00 -9.579283265414566539e-01 4.855886135150688614e-03 3.399034872135383978e+01 2.323886420420267444e-03 3.399034872135383978e+01 1.949857033109077093e-07
1.793260382121325769e+00 2.326844633379746563e-01 -3.294047329402680635e+00 -1.258835284345308114e+00 2.135737743038248083e-03 6.212413891076156602e+01 1.194194427542233155e-03 6.212413891076156602e+01 2.910892453646608216e-08
2.055165144026087631e+00 1.918520608341856004e-01 -3.190088740896514619e+00 -6.836201419969952786e-01 -4.028923719718154224e-03 1.135442494880611122e+02 5.091256614394146620e-04 1.135442494880611122e+02 3.669014315736431682e-09
2.317069905930849494e+00 2.688132546115443722e-01 -2.422556764717356259e+00 2.014043512220417664e+00 8.744891938709076912e-03 2.075247531450898464e+02 5.235863299596877577e-04 2.075247531450898464e+02 6.209080578275502468e-10
2.578974667835611356e+00 7.397303977991100954e-01 -2.115478593699407828e+00 3.109192088241807372e+00 6.527265443002085166e-02 3.792928603791494879e+02 5.778300990188396657e-03 3.792928603791494879e+02 1.975109150079068545e-10
2.840879429740373219e+00 9.279841901306260521e-01 -2.596453504827804792e+00 1.845319969345112776e+00 1.389505041892002690e-01 6.932333215884656283e+02 2.226448871783841266e-02 6.932333215884656283e+02 4.840825873154816169e-11
3.102784191645135081e+00 9.774873112448743129e-01 -3.222837938607573172e+00 1.449152168318414313e+00 2.236036679713994946e-01 1.267022104450334609e+03 5.350524226168607705e-02 1.267022104450334609e+03 8.620729677132504311e-12
3.364688953549896944e+00 9.929625134142411325e-01 -4.421835813472034360e+00 1.427163255889589921e+00 3.514006992556014120e-01 2.315735500837276959e+03 1.278475570024388830e-01 2.315735500837276959e+03 9.925816800118232684e-13
