#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho         
-1.087691998831055384e+00 -4.033662864683695837e-02 2.404677581680931264e-01 1.805278138828904644e-01 -2.308267903955359157e-04 8.171616960822593312e-02 3.070034980773925573e-02 8.171616960822593312e-02 2.276643287644789654e-02
-8.257872369262934109e-01 -1.602208789902122010e-01 -1.226819332300482651e-01 -3.292144448389766609e-02 2.654514243259673001e-03 1.493525916316219004e-01 2.908652988287920363e-02 1.493525916316219004e-01 2.173869194860969176e-02
-5.638824750215315484e-01 -2.754020872698093036e-02 -2.860976411080650705e-01 -9.896925473537429574e-02 2.433018774296959348e-03 2.729716374865001627e-01 2.950521324629662434e-02 2.729716374865001627e-01 1.963509578255534516e-02
-3.019777131167696860e-01 -4.045624453200691306e-02 -7.941014237591853542e-01 -2.452011242812785485e-01 -1.977007399121505620e-03 4.989100895942188418e-01 2.581373654939906129e-02 4.989100895942188418e-01 1.539475349313931644e-02
-4.007295121200771942e-02 -2.369889372488143131e-02 -1.772260149783190242e+00 -2.339674377744287159e-01 1.114003230146113233e-03 9.118576559486750721e-01 2.195129133329188839e-02 9.118576559486750721e-01 7.534859099889473083e-03
2.218318106927542055e-01 -3.899860250948838925e-02 -2.619971929374699915e+00 -3.024719179873375241e-01 2.104914563256989491e-04 1.666601662412735996e+00 1.946688670032429083e-02 1.666601662412735996e+00 1.815707945637897152e-03
4.837365725975161235e-01 -4.639743631498172149e-02 -2.921403173851051971e+00 -4.924468537013653724e-01 8.537385525267848947e-05 3.046046806798136330e+00 1.524131371475718685e-02 3.046046806798136330e+00 3.196751567494953870e-04
7.456413345022779859e-01 -3.223959595460845762e-02 -2.943489867063557863e+00 -5.957701793425315140e-01 1.693079328517893285e-04 5.567257826787955111e+00 1.074850714034165759e-02 5.567257826787955111e+00 5.355341728577974245e-05
1.007546096407039737e+00 1.673597661927062052e-02 -2.999798448051694155e+00 -6.035016509677954000e-01 3.176668598611262885e-04 1.017527361718764034e+01 7.429375484898701268e-03 1.017527361718764034e+01 9.180807073942311424e-06
1.269450858311801600e+00 2.017505855627756972e-01 -2.929836487180285332e+00 -5.746944853766947636e-01 -4.214595305384627975e-03 1.859734116973173812e+01 5.190727580880670836e-03 1.859734116973173812e+01 1.437024564826597138e-06
1.531355620216563906e+00 4.436454136461913667e-01 -2.742750185232885940e+00 -1.239406805474919764e-02 -9.848511929940069725e-04 3.399034872135383978e+01 3.714683901492859402e-03 3.399034872135383978e+01 2.680430839318344681e-07
1.793260382121325769e+00 8.440899957505614282e-01 -2.959155702637958463e+00 9.960681548428166332e-01 2.838031296685799773e-02 6.212413891076156602e+01 5.113710124593751592e-03 6.212413891076156602e+01 5.257575568995040106e-08
2.055165144026087631e+00 9.670981003963006195e-01 -3.043468796413907995e+00 8.085286423455532168e-01 6.619347604149238007e-02 1.135442494880611122e+02 1.235013911277070033e-02 1.135442494880611122e+02 7.553890177460209173e-09
2.317069905930849494e+00 9.909838192802803425e-01 -2.835274358673035344e+00 5.915584108899275551e-01 9.212086376749747951e-02 2.075247531450898464e+02 1.355973209649442499e-02 2.075247531450898464e+02 1.338405099549588806e-09
2.578974667835611356e+00 9.975332341244893541e-01 -2.992849330891489856e+00 1.081639476871179673e+00 1.422368323757862985e-01 3.792928603791494879e+02 2.520784844246022269e-02 3.792928603791494879e+02 2.471877559365049685e-10
2.840879429740373219e+00 9.993511789079999597e-01 -3.673875063200201296e+00 1.224980396581230480e+00 2.134919633859820309e-01 6.932333215884656283e+02 4.998321284174179341e-02 6.932333215884656283e+02 3.621634343321658890e-11
3.102784191645135081e+00 9.998178758652109810e-01 -5.290821033614506952e+00 1.326994538457154205e+00 3.257683565625137945e-01 1.267022104450334609e+03 1.104567287783250057e-01 1.267022104450334609e+03 2.941820753629246161e-12
3.364688953549896944e+00 9.999353465663831653e-01 -1.097762583274291615e+01 1.150890331250845611e+00 4.937493305411532196e-01 2.315735500837276959e+03 2.476946040600052079e-01 2.315735500837276959e+03 6.130870653530731465e-14
