#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho         
-1.087691998831055384e+00 5.656984982147117424e-02 -1.297516991411485909e-01 4.561972548026238528e-02 -1.701494880709879254e-02 8.171616960822593312e-02 8.554644591657775687e-02 1.236824276896513752e-01 1.646933442126017888e-01
-8.257872369262934109e-01 7.267402158478597496e-02 -2.516068543108112010e-01 -1.744410675134463184e-01 -8.353484914507450232e-03 1.493525916316219004e-01 7.964429013664751922e-02 2.260542950471408352e-01 1.631195279063558934e-01
-5.638824750215315484e-01 1.665489876451609064e-02 -8.011486041882101006e-01 -1.798355848045211924e-01 -1.208526425424314614e-03 2.729716374865001627e-01 6.931513584206676348e-02 4.131592924217432072e-01 1.215855550559093862e-01
-3.019777131167696860e-01 4.164246864540310789e-03 -1.545909970432658875e+00 -1.283646705698341106e-01 -9.473254483065348536e-04 4.989100895942188418e-01 6.411432195890771901e-02 7.551309780636463742e-01 6.206641872161421103e-02
-4.007295121200771942e-02 1.357027901199658881e-02 -2.309821874212079074e+00 -2.386242518087697273e-01 -4.205416389981336193e-04 9.118576559486750721e-01 5.937306127540541850e-02 1.380152412133791140e+00 1.884167968126335829e-02
2.218318106927542055e-01 2.952369280513567062e-03 -2.798231042840670479e+00 -4.496196198122497933e-01 2.239464692809554989e-04 1.666601662412735996e+00 4.807966112775772377e-02 2.522503692807280817e+00 3.827806635753586064e-03
4.837365725975161235e-01 2.863042223571365952e-02 -3.069413606567516162e+00 -6.076694590932515405e-01 -1.221791259924985627e-04 3.046046806798136330e+00 3.452028739891572356e-02 4.610378407692512504e+00 6.447324752422865703e-04
7.456413345022779859e-01 9.051405051290883907e-02 -3.289886413769262496e+00 -5.603726944626820083e-01 -3.211935376049818852e-03 5.567257826787955111e+00 2.310246644001905797e-02 8.426385706679429433e+00 9.444129016335417231e-05
1.007546096407039737e+00 3.212813315132835301e-01 -3.288485147870512382e+00 -5.894516495532480249e-01 -9.949166263709129793e-03 1.017527361718764034e+01 1.756086274722409510e-02 1.540089983921053651e+01 1.219286345975966519e-05
1.269450858311801600e+00 5.303707411412996731e-01 -3.516215409448181450e+00 -9.599682433882453791e-01 -4.896107206697930710e-03 1.859734116973173812e+01 1.134744170098852742e-02 2.814821491845326307e+01 1.789048326181674285e-06
1.531355620216563906e+00 4.599309034272934804e-01 -3.347921480509758130e+00 -7.896136702947252894e-01 -1.689052887176480111e-02 3.399034872135383978e+01 5.517029930963691237e-03 5.144647464547438886e+01 1.755005941950955509e-07
1.793260382121325769e+00 8.261337292980061031e-01 -2.866078265172761430e+00 1.381141201301881116e+00 3.724302037559187872e-02 6.212413891076156602e+01 4.378151639921325396e-03 9.402868924779669157e+01 3.154633533556195638e-08
2.055165144026087631e+00 9.936023286724285919e-01 -3.271581708424568191e+00 2.256423942541329719e+00 1.489527473314652684e-01 1.135442494880611122e+02 2.918503745903386348e-02 1.718561760079020644e+02 5.533494720475328608e-09
2.317069905930849494e+00 9.990684553483052399e-01 -4.047002428927837236e+00 1.223759312013709355e+00 2.350782708439401736e-01 2.075247531450898464e+02 6.656212071105171990e-02 3.141014244516981080e+02 6.099064956693293387e-10
2.578974667835611356e+00 9.998604223746909714e-01 -5.978188511577957165e+00 1.329023053035188751e+00 3.507982545114056161e-01 3.792928603791494879e+02 1.276959247525305818e-01 5.740829752784059110e+02 4.198953689138050928e-11
