#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho         
-1.087691998831055384e+00 1.255203052115001494e-01 -5.257221388003593954e-02 -7.723742241541334264e-02 9.752304442805947993e-03 8.171616960822593312e-02 8.855440208948955894e-02 1.028745624742778420e-01 9.324549635566424521e-02
-8.257872369262934109e-01 -1.240053504734461853e-02 -1.011493690741316342e-01 -1.374388308041880891e-01 1.227500137017697827e-02 1.493525916316219004e-01 7.608523621851084884e-02 1.880237729223656895e-01 9.714973828858601557e-02
-5.638824750215315484e-01 -3.887854785799671475e-03 -5.049342264091322141e-01 -9.069100995433938828e-02 -9.321535864765156986e-05 2.729716374865001627e-01 7.502713912079857217e-02 3.436509311308203474e-01 8.253627456181354682e-02
-3.019777131167696860e-01 5.111421682195360638e-03 -1.208295864441347733e+00 -1.648304949949344622e-01 3.143561162005920192e-04 4.989100895942188418e-01 6.820175944102201127e-02 6.280905899906668033e-01 5.283871876730680123e-02
-4.007295121200771942e-02 5.142894380316898051e-03 -2.077387475620774193e+00 -2.624655769247414838e-01 4.065761299246433281e-04 9.118576559486750721e-01 6.150049389204931966e-02 1.147960775012849766e+00 1.921887582941179951e-02
2.218318106927542055e-01 -5.171449918028869774e-03 -2.771770800669334012e+00 -5.505068765538044806e-01 -9.390010675550953785e-04 1.666601662412735996e+00 4.969510467205898868e-02 2.098127184149797486e+00 4.313173556362241874e-03
4.837365725975161235e-01 -3.143409244267925118e-03 -3.213555697690736235e+00 -8.309331719287023077e-01 -3.901080385191933275e-04 3.046046806798136330e+00 3.166050651876536892e-02 3.834745730592652002e+00 6.789660166173238677e-04
7.456413345022779859e-01 -8.247911145413455714e-03 -3.444305908006214167e+00 -9.049453227659542964e-01 2.558803261890858836e-04 5.567257826787955111e+00 1.824159883451761249e-02 7.008762352153326880e+00 8.943465874311845522e-05
1.007546096407039737e+00 -1.786706798690707032e-02 -3.491314122196970793e+00 -8.789207496048656587e-01 4.123108344761905551e-04 1.017527361718764034e+01 1.062915842185017425e-02 1.280991052863627644e+01 1.065829656259987647e-05
1.269450858311801600e+00 -1.115521470758995548e-03 -3.432398236223902277e+00 -8.830136976825451178e-01 -2.263536329761578632e-04 1.859734116973173812e+01 6.319399933472020017e-03 2.341266539038114658e+01 1.326545853287097498e-06
1.531355620216563906e+00 4.256607534870227028e-02 -3.397256239918758247e+00 -9.705016640720702803e-01 -5.497854815804400315e-04 3.399034872135383978e+01 3.664104873793668123e-03 4.279131376105772944e+01 1.697324634482040292e-07
1.793260382121325769e+00 4.123902596373008045e-02 -3.467053249103237089e+00 -1.058049904449890333e+00 -6.826858966983658829e-04 6.212413891076156602e+01 1.960278726033115333e-03 7.820965716058854866e+01 2.203977177789426736e-08
2.055165144026087631e+00 9.195283898247841314e-02 -3.570206197488352107e+00 -1.103600958759656248e+00 -4.274292895546072369e-04 1.135442494880611122e+02 1.022707118652598900e-03 1.429437410436169955e+02 2.592324730857674395e-09
2.317069905930849494e+00 2.316313898455006903e-01 -3.210378004874620661e+00 5.980902086820759633e-01 5.475184583222732389e-04 2.075247531450898464e+02 5.178943034748854923e-04 2.612581853106651124e+02 2.972344098688160472e-10
2.578974667835611356e+00 5.784170029079698239e-01 -2.759359085450046489e+00 2.187720490552631070e+00 2.754947244585951791e-02 3.792928603791494879e+02 2.103955869828777383e-03 4.775014204434083354e+02 5.395886787812576070e-11
2.840879429740373219e+00 8.683451920657072609e-01 -2.752109119077545074e+00 1.503183936075976002e+00 6.883671712185070179e-02 6.932333215884656283e+02 7.247529010858593489e-03 8.727290448501973970e+02 1.065909950107923382e-11
3.102784191645135081e+00 9.641365022845941324e-01 -2.971312069447026083e+00 9.524976751156806198e-01 1.025799936785423000e-01 1.267022104450334609e+03 1.289492106726540695e-02 1.595086324597449902e+03 1.952009207793878113e-12
3.364688953549896944e+00 9.894104283790629006e-01 -3.623661903006918372e+00 1.007402825070411456e+00 1.445009266056952735e-01 2.315735500837276959e+03 2.286216296183539096e-02 2.915338268997941213e+03 2.960185698639313412e-13
