#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2 
-1.410614651442327672e+00 4.071744729398846241e-01 -3.822323461236041720e+00 5.983570681224615662e+00 3.035432100296020508e-02 3.884949238138359767e-02 2.065330879254774835e-02
-1.351690142063505906e+00 8.104076116304036459e-01 6.941746168870543965e-02 -1.155614065879666086e+00 -7.407789429028828650e-03 4.449486136317903906e-02 2.777900298436482632e-02
-1.292765632684684141e+00 -4.291577963342330104e-01 7.279283142251009586e-01 -2.087484353650332025e+00 -1.429125169912973982e-02 5.096058059891731690e-02 1.509390647212664228e-02
-1.233841123305862597e+00 2.755665060502184849e-01 -1.247979573983416302e+00 5.034528975177020582e-01 -1.041949507982834443e-02 5.836585833544889745e-02 1.576553349909574908e-02
-1.174916613927040832e+00 -2.799216538091520157e-02 -1.249777034617270965e-01 9.598014967621014415e-02 -3.035756475047061281e-02 6.684722542792351230e-02 1.730346522833171516e-02
-1.115992104548219288e+00 -1.357066276927674231e-01 -8.672524037577370448e-01 3.082334302749917265e-01 -4.157946547683404048e-02 7.656105255454827285e-02 1.618153951605971752e-02
-1.057067595169397523e+00 2.135649567914346125e-01 -1.862643335918638121e-01 1.245694700220702777e-01 5.846929639133054482e-03 8.768643321749283737e-02 1.881300157575464815e-02
-9.981430857905757570e-01 -2.116955777190749899e-01 -4.456300201951560180e-01 -8.439226618852843087e-01 1.220042888934795740e-02 1.004284856837310558e-01 1.673787144514230635e-02
-9.392185764117539915e-01 -4.958751303511044206e-01 -4.456300201951568507e-01 1.021770737979706745e+00 -1.499140531496894087e-02 1.150221347435912145e-01 1.496244731702302613e-02
-8.802940670329324480e-01 3.158312156930809245e-02 -2.287923685814596264e-01 1.168428748521332272e+00 -2.615803969655059683e-03 1.317364430111690743e-01 2.208589010192575988e-02
-8.213695576541106824e-01 -2.836223696445716591e-02 -9.224150294579105402e-01 3.335138564515267162e-02 3.027259879264967285e-03 1.508795716226433714e-01 2.054474786507277245e-02
-7.624450482752889169e-01 2.275573859251289743e-02 -1.091288082286977490e+00 1.385093220221026225e-02 -7.691181067264441472e-03 1.728044617927197713e-01 2.228667782029501374e-02
-7.035205388964672624e-01 -3.584093761371076603e-02 -4.303914999187812840e-01 9.607319347695690570e-02 -6.168223743479216148e-03 1.979153419798685976e-01 2.062211168293234115e-02
-6.445960295176456079e-01 6.731560390585566989e-02 -5.449669485519863521e-01 3.150427839319499407e-02 7.018394522614532227e-03 2.266751806327409469e-01 2.287533519032237603e-02
-5.856715201388238423e-01 2.529514945459165887e-02 -1.443795822625567160e+00 -6.591243277217327667e-02 2.697769210848745616e-03 2.596142219237967952e-01 2.079916416817877492e-02
-5.267470107600021878e-01 -3.739576557518997646e-02 -1.134471718045136912e+00 5.158610088479826938e-01 -5.189310537802206344e-03 2.973397618431773970e-01 2.246982815029384753e-02
-4.678225013811804778e-01 1.148102793592586934e-02 -1.052955791909488292e+00 1.403422494024572642e-01 -1.937873117071456808e-03 3.405473448943341919e-01 2.392431966092258347e-02
-4.088979920023588788e-01 4.670535978206169503e-02 -1.491252143002943731e+00 -8.086781399410898630e-02 -2.167565156245459482e-03 3.900335878245125842e-01 2.334204743696449702e-02
-3.499734826235372243e-01 -4.315676287718783755e-03 -1.518218287786292198e+00 3.103961369208583024e-02 -2.520378364659731866e-03 4.467108668207760425e-01 2.340504087941011613e-02
-2.910489732447154032e-01 7.260479093661142969e-02 -1.628166384713869430e+00 2.476029892868185714e-02 2.514057891715517929e-03 5.116241389589061273e-01 2.353948382266763534e-02
-2.321244638658938042e-01 6.047485215762049560e-02 -1.959880461409689190e+00 3.129344873547570266e-02 3.394970195418455915e-03 5.859702080416635539e-01 2.356282625663991617e-02
-1.731999544870721219e-01 1.099889872642734190e-01 -2.160164461820566206e+00 -1.442254259202762068e-01 2.386067827649154902e-03 6.711197900300193142e-01 2.374022537517803469e-02
-1.142754451082503564e-01 1.322531914781864826e-01 -2.126837584056075592e+00 -9.000525454282513882e-02 -6.184369676085092532e-04 7.686427848869629154e-01 2.265846869457474599e-02
-5.535093572942868800e-02 1.404934633959158408e-01 -2.210016887899759475e+00 -1.002832143126886205e-01 -1.216712097852306121e-03 8.803372207700188579e-01 2.316742718081053753e-02
3.573573649392941358e-03 2.113759990596375538e-01 -2.548488676868588154e+00 -2.985663635869394983e-01 -3.646595681704178221e-03 1.008262404215570562e+00 2.205018703498374741e-02
6.249808302821469735e-02 2.584262949245664798e-01 -2.709754246540461597e+00 -2.507120846780943602e-01 2.965277240402618922e-03 1.154776887503816907e+00 2.136446656347236114e-02
1.214225924070364004e-01 3.003479632790735376e-01 -2.760310627813815643e+00 -3.753924202756199202e-01 1.741699535617084087e-03 1.322581953207384586e+00 2.059994706789993954e-02
1.803471017858580550e-01 3.649101607143068193e-01 -3.029147695313352706e+00 -3.919747558204338400e-01 2.113057119475879493e-03 1.514771417646751717e+00 1.929533954086491004e-02
2.392716111646797927e-01 4.386910472757522550e-01 -3.223170060688385519e+00 -3.497876517353303294e-01 -2.022765079417068561e-03 1.734888671477102129e+00 1.852133402278904190e-02
2.981961205435014750e-01 5.089368892195457184e-01 -3.332461170963472608e+00 -6.350330176086342870e-01 -2.575650969452535468e-04 1.986992009061980813e+00 1.754810780325659000e-02
3.571206299223231295e-01 5.563408294014877686e-01 -3.554818944421680893e+00 -7.719631137690472489e-01 -8.701517306986200975e-04 2.275729451109206991e+00 1.558957393700477652e-02
4.160451393011448395e-01 6.200803003477770581e-01 -3.658083652606437752e+00 -6.644727087039086211e-01 -2.062434625491348095e-03 2.606424440071446913e+00 1.423164815491661205e-02
4.749696486799664941e-01 6.767217667444798135e-01 -3.641040726040984055e+00 -7.300020108869926805e-01 1.616228403518287730e-03 2.985173988274651524e+00 1.301747611156604117e-02
5.338941580587880376e-01 7.421600095132270258e-01 -3.758700685006611586e+00 -9.104864322153292111e-01 1.190010296929742972e-03 3.418961088328082099e+00 1.167414753707413794e-02
5.928186674376098031e-01 7.896480911804414360e-01 -3.923695994455605351e+00 -8.736959962556380965e-01 -2.537896627616439710e-03 3.915783458322857236e+00 1.016779676114323502e-02
6.517431768164315686e-01 8.344339757202645647e-01 -4.044867378428014248e+00 -8.722328678433619586e-01 1.978466052882718726e-04 4.484800995489870878e+00 9.210028237854408356e-03
7.106676861952531121e-01 8.679889736743936490e-01 -4.176305846631565011e+00 -1.011782274064791487e+00 3.402506152987709760e-03 5.136504656915215961e+00 8.024815738224092346e-03
7.695921955740748777e-01 8.939316475135459239e-01 -4.256463507285968006e+00 -1.005208233213212621e+00 -9.085154479076759399e-05 5.882909880961139315e+00 6.998797266792870959e-03
8.285167049528966432e-01 9.214641205073245134e-01 -4.301953857043190332e+00 -9.706005630074642232e-01 -5.003861885297988853e-04 6.737778115496695364e+00 6.109030103451120602e-03
8.874412143317181867e-01 9.363316498922444886e-01 -4.523271340206822977e+00 -1.037807623948486135e+00 -1.058153295949893760e-03 7.716870537246643735e+00 5.378226516466350429e-03
9.463657237105399522e-01 9.509292883666986551e-01 -4.615764444443080983e+00 -1.064238994402612271e+00 1.710101157280505355e-03 8.838238640073624808e+00 4.609646851809637812e-03
1.005290233089361829e+00 9.614630562371471179e-01 -4.516916680487944369e+00 -1.274978661820113546e+00 6.493623532242511799e-04 1.012255704975989978e+01 4.029206894150930834e-03
1.064214742468183372e+00 9.689131786555696957e-01 -4.588081669030390941e+00 -1.287294503498877196e+00 -2.109548191965362148e-05 1.159350470138360301e+01 3.261464613455312966e-03
