#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2 
-1.410614651442327672e+00 -2.721654004449420849e+00 -2.402315739538527506e+00 -4.363680751626695553e+00 -2.817667648196220398e-02 3.884949238138359767e-02 1.587850041687488556e-03
-1.174916613927040832e+00 -6.724975019357294137e+00 -1.978252008078066115e+00 -2.230430532393991694e+00 6.909700110554695129e-03 6.684722542792351230e-02 4.306044429540634155e-04
-1.115992104548219288e+00 -8.564264993382164626e-01 -1.939840671348848300e+00 1.140710569647451855e+01 5.542234828074772864e-03 7.656105255454827285e-02 3.496828721836209297e-04
-1.057067595169397523e+00 1.024244888747832816e-01 -4.456300201951786111e-01 6.482638438385793123e+00 1.585593521595001290e-02 8.768643321749283737e-02 9.514691680669784893e-03
-9.981430857905757570e-01 -1.447856028475545731e+00 2.542791282112209839e+00 -4.020019521541884799e+00 -3.034088015556335449e-02 1.004284856837310558e-01 2.030705474317073735e-03
-9.392185764117539915e-01 -9.957152929713211087e-01 2.742038557117632891e+00 3.475650535490820925e+00 7.051507109089901436e-03 1.150221347435912145e-01 3.196239863571367652e-03
-8.802940670329324480e-01 -1.515849716717281304e-01 -8.796813426977095896e-01 2.889215505212255675e+00 1.009972840547561715e-02 1.317364430111690743e-01 5.214935541152954449e-03
-8.213695576541106824e-01 2.958792216551963117e-01 6.386944894888687552e-01 4.664305308131803107e-01 5.717420216762658138e-03 1.508795716226433714e-01 7.000524437788761128e-03
-7.624450482752889169e-01 1.294608437719148020e-01 -4.456300201951564621e-01 -8.147764297675196277e-01 -1.985754187290485195e-02 1.728044617927197713e-01 5.918577313423156738e-03
-7.035205388964672624e-01 1.189667876901925325e-01 -9.896947929669043242e-01 -2.939717359201583502e-01 -3.520881441923288339e-03 1.979153419798685976e-01 5.611900641367986026e-03
-6.445960295176456079e-01 1.410348787041745267e-01 6.440702325208362555e-02 2.963385859513074233e-03 5.732586544551206663e-03 2.266751806327409469e-01 5.464784549863150979e-03
-5.856715201388238423e-01 -3.928762065712509965e-02 1.522339110070515811e-01 -7.296429296536592890e-01 6.507899712871861517e-03 2.596142219237967952e-01 5.616415191341091011e-03
-5.267470107600021878e-01 -1.443276683012086892e-01 -1.334354861726527508e+00 -6.676352523475089784e-01 -5.717311914150531409e-03 2.973397618431773970e-01 4.483171380483187696e-03
-4.678225013811804778e-01 -1.270068089276212842e-01 -1.394728824581583204e+00 6.745095255341365670e-01 2.965521709672335696e-03 3.405473448943341919e-01 4.685749267709666405e-03
-4.088979920023588788e-01 -1.149602735013588450e-02 -1.107957731594192863e+00 5.888883373282759459e-01 2.400566670010765864e-03 3.900335878245125842e-01 5.383635235724048250e-03
-3.499734826235372243e-01 8.312002734261192405e-02 -7.767664888149071745e-01 3.433073170534276398e-03 -2.389103944295444741e-04 4.467108668207760425e-01 5.497673685236494946e-03
-2.910489732447154032e-01 1.337485124087871569e-01 -7.077315657020821771e-01 1.489341137644034918e-01 6.462426112373534804e-04 5.116241389589061273e-01 5.388652912178951149e-03
-2.321244638658938042e-01 1.996637037316414398e-01 -1.662355178027246749e+00 -1.849371901336999829e-02 -1.717612644036611022e-03 5.859702080416635539e-01 5.724409553739759522e-03
-1.731999544870721219e-01 7.707689607001178000e-02 -1.707695207736735776e+00 -3.840988924199466997e-02 7.429723218614302498e-04 6.711197900300193142e-01 5.361678198227690269e-03
-1.142754451082503564e-01 1.312191089135330557e-01 -2.109084860096593239e+00 4.744124671273978848e-03 2.061803513543712836e-03 7.686427848869629154e-01 5.665054993153550815e-03
-5.535093572942868800e-02 1.854981139028987203e-01 -2.410847228951752186e+00 -5.305904011099790707e-02 1.266317803468277247e-03 8.803372207700188579e-01 5.368585017190050969e-03
3.573573649392941358e-03 1.907825841217820617e-01 -2.212941658617916030e+00 1.164458651951099238e-01 2.010312052544600825e-04 1.008262404215570562e+00 5.584074120605061163e-03
6.249808302821469735e-02 3.093034645449512787e-01 -2.283777021154361542e+00 -3.479947193086285057e-02 2.481447994574264432e-03 1.154776887503816907e+00 5.540932581311522505e-03
1.214225924070364004e-01 3.285933192093807298e-01 -2.600073802167355730e+00 -1.340286823935087912e-01 4.253519678508842629e-04 1.322581953207384586e+00 5.531591373485523523e-03
1.803471017858580550e-01 3.674598421533614712e-01 -2.937218636599379984e+00 -2.169458318802141572e-01 -1.310960516242903580e-03 1.514771417646751717e+00 5.343031286790291857e-03
2.392716111646797927e-01 3.828663262102199871e-01 -2.987554270837051273e+00 -2.419218761991611955e-01 1.621803667479314879e-03 1.734888671477102129e+00 5.215347336402702955e-03
2.981961205435014750e-01 4.024145305951339902e-01 -2.967771540483683523e+00 -7.979109753266249577e-03 -7.830448549070126874e-04 1.986992009061980813e+00 5.003540985025164631e-03
3.571206299223231295e-01 4.832478774429935786e-01 -2.957996188008341409e+00 1.367928896421962415e-01 2.795114734246229526e-07 2.275729451109206991e+00 5.204067332358404407e-03
4.160451393011448395e-01 5.414528592941167950e-01 -2.955836232928640062e+00 -5.751470278205237513e-02 -2.341626565667647569e-03 2.606424440071446913e+00 5.192761418026816886e-03
4.749696486799664941e-01 5.982039337181006555e-01 -3.024650104634129644e+00 -2.240259758631477360e-01 2.376350776228324403e-03 2.985173988274651524e+00 5.123477764230555988e-03
5.338941580587880376e-01 6.533957644644798890e-01 -2.894221189491070323e+00 -4.752137188020063574e-01 2.403142226773728306e-03 3.418961088328082099e+00 4.886491277887867850e-03
5.928186674376098031e-01 6.709812474215026690e-01 -2.938681165933925588e+00 -4.222265614309315129e-01 1.059927793272356662e-03 3.915783458322857236e+00 4.503616330556207623e-03
6.517431768164315686e-01 7.382533765052876618e-01 -3.120441337421572925e+00 -5.116374563095551498e-01 3.981407839893351007e-04 4.484800995489870878e+00 4.357507486771152946e-03
7.106676861952531121e-01 7.608210507439828740e-01 -2.856868343367535701e+00 -4.201515219080653729e-01 -2.025744987832280876e-04 5.136504656915215961e+00 3.919813579138848279e-03
7.695921955740748777e-01 8.167564421964548238e-01 -2.765226182534611610e+00 -3.804221348813164316e-01 9.290524545659872629e-04 5.882909880961139315e+00 3.887977091794086147e-03
8.285167049528966432e-01 8.358008703373196457e-01 -3.042358821567797023e+00 -6.020231441759954505e-01 -1.786421392565575809e-03 6.737778115496695364e+00 3.535355065841912659e-03
8.874412143317181867e-01 8.695249481823839055e-01 -3.276637286266535831e+00 -5.387416312230994819e-01 -4.173039012757130770e-04 7.716870537246643735e+00 3.301990812641970949e-03
9.463657237105399522e-01 8.808300822910095640e-01 -3.201878041038375144e+00 -5.281453976525122274e-01 1.648798174630722953e-04 8.838238640073624808e+00 3.054519240851367393e-03
1.005290233089361829e+00 8.983104125559149278e-01 -3.039840138321651786e+00 -5.845888459936902093e-01 -6.378469628802801387e-04 1.012255704975989978e+01 2.861109264826370603e-03
1.064214742468183372e+00 9.158589728478878644e-01 -2.737092156846567814e+00 -7.800395302135136877e-01 1.961251625946728704e-03 1.159350470138360301e+01 2.606451470918260196e-03
1.123139251847005138e+00 9.210502681385182022e-01 -2.757785580204019205e+00 -9.136024059968633759e-01 -9.754501809977522610e-04 1.327820140704386986e+01 2.315301485735961080e-03
1.182063761225826903e+00 9.301694366672068615e-01 -2.951434053960494186e+00 -9.617435654937145362e-01 1.857715356296895962e-05 1.520770786291917531e+01 2.034147757295583052e-03
1.240988270604648447e+00 9.383455024945652756e-01 -2.909689543213648477e+00 -8.767342434202251011e-01 6.490221647458655711e-04 1.741759831427216199e+01 1.783474954860604167e-03
1.299912779983470212e+00 9.505989254611606487e-01 -2.924952150157613229e+00 -8.044269522161375807e-01 -1.376325084317114996e-03 1.994861643660631856e+01 1.603467736587335093e-03
1.358837289362291978e+00 9.527940018373449726e-01 -3.116187962370363884e+00 -1.024363417758133776e+00 -2.172469219445308976e-05 2.284742652543305397e+01 1.433725758786603272e-03
