#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2 
-1.279478777192769368e+00 9.625479520895533492e-01 -7.176741779537976207e-01 -2.348184952844941109e-01 -1.453359176715214932e-02 5.254376912142792039e-02 9.966186092545588088e-04
-1.136376397272773842e+00 -2.975934054475026791e-01 1.004573635738990944e+00 2.229580224718692438e+00 1.268690526485443185e-02 7.305056894446010363e-02 4.651375859975814646e-03
-9.932740173527783156e-01 -1.117711465283529382e+00 5.107692948346617134e-01 5.169735264245412833e-03 -8.376816223407614059e-03 1.015607694753873913e-01 4.331571274790270605e-03
-8.501716374327827896e-01 -3.418784056120571790e-01 -3.838952871167665148e-01 6.815740571232857814e-01 2.570912565874016766e-03 1.411979406248690116e-01 4.667249710663505524e-03
-7.070692575127872637e-01 9.167283218900645902e-02 -8.431527196479416952e-01 3.448796301256909502e-01 4.407446595686900499e-04 1.963047202151772530e-01 6.787583797792844618e-03
-5.639668775927917377e-01 -4.066568115823399054e-03 -6.109078213615455333e-01 -3.366762864482543693e-01 2.996847427711284758e-03 2.729185922133187669e-01 5.858240934906813226e-03
-4.208644976727962117e-01 8.124683969646306902e-02 -9.580101603408960331e-01 -1.676652496773780102e-02 -2.377302122053264605e-03 3.794333518524381499e-01 5.436968897642354900e-03
-2.777621177528007412e-01 1.673089953851615297e-01 -1.360546073022294244e+00 3.057738090734211933e-02 -2.763046899114994601e-03 5.275187275824964050e-01 5.793867644315921217e-03
-1.346597378328051875e-01 1.754687986949278189e-01 -1.945060010848915555e+00 -6.493187397601619948e-02 4.968605622075557803e-03 7.333989133840763674e-01 5.547639612865533539e-03
8.442642087190326342e-03 2.610172530722825179e-01 -2.369187181245749674e+00 -8.069093849183660294e-02 9.454857921173274917e-04 1.019630087102126881e+00 5.551172953575100877e-03
1.515450220071858090e-01 2.893274247745996064e-01 -2.667053964523614873e+00 -1.208559635101827817e-01 -1.162590832618702087e-03 1.417571659230745240e+00 5.260343565722511161e-03
2.946474019271813627e-01 4.487248711748065277e-01 -2.901479157524826213e+00 -1.730499627294728934e-02 -9.873759532205625671e-04 1.970822001501937315e+00 5.126195989373973430e-03
4.377497818471769442e-01 5.782225921750907549e-01 -2.954095351640049216e+00 -1.430047434205073686e-01 -3.089418640960490221e-04 2.739995072779500163e+00 5.200694433742451307e-03
5.808521617671722481e-01 6.954502156555137926e-01 -2.938240562436997383e+00 -4.174511978942027079e-01 3.703202858319285060e-03 3.809361268107678722e+00 4.665160268721117200e-03
7.239545416871678851e-01 7.785862329534376514e-01 -2.979365442611715320e+00 -4.873240991443126280e-01 6.467658493634173729e-04 5.296080060552261770e+00 3.949888331784902860e-03
8.670569216071636331e-01 8.482489811436487726e-01 -3.105239218326873996e+00 -5.379590788112672550e-01 1.136242475401070704e-03 7.363035961593761947e+00 3.383701870862472656e-03
1.010159301527159270e+00 8.971274490980996053e-01 -2.984010117761192848e+00 -6.686730556496863764e-01 4.461259923429570086e-05 1.023668410444490640e+01 2.770884152491207963e-03
1.153261681447154352e+00 9.256947857553905479e-01 -2.835029026328729440e+00 -8.952933683689640043e-01 9.077913885438883843e-04 1.423186060760630944e+01 2.177783385414961206e-03
