#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2 
-1.410614651442327672e+00 -4.238071796798732471e-01 -3.106824201344519309e+00 2.904269594487053574e+00 3.778423865636189316e-02 3.884949238138359767e-02 4.375092188517252373e-02
-1.351690142063505906e+00 1.611075706195606028e-01 -1.416985608361337023e+00 9.862517954180602953e-01 -5.554001671927315947e-02 4.449486136317903906e-02 8.228371483939034281e-02
-1.292765632684684141e+00 -1.551390738098969990e-01 5.998038379795782304e-02 -6.197920845709122828e-01 -8.126288652420043945e-02 5.096058059891731690e-02 5.717629566788673401e-02
-1.233841123305862597e+00 -6.389997248748702230e-01 -1.188388180892309354e+00 5.658751534334577338e-01 4.523456473893757053e-03 5.836585833544889745e-02 6.954597521431837848e-02
-1.174916613927040832e+00 4.283040889017875053e-02 -8.708333746958673016e-01 8.552252778489790597e-01 -9.373887227131770875e-03 6.684722542792351230e-02 6.666591534247764961e-02
-1.115992104548219288e+00 1.029357206645964418e-02 -1.308425629671552404e+00 6.279511560779226231e-01 -4.117484092712402066e-02 7.656105255454827285e-02 8.771209035600933956e-02
-1.057067595169397523e+00 5.386623832454606742e-02 -1.714869012028374495e+00 3.563694542850517899e-01 1.776118249427981535e-02 8.768643321749283737e-02 7.905098287070670693e-02
-9.981430857905757570e-01 -1.974619239741721710e-01 -1.279275078361999496e+00 5.835845009508662251e-01 -1.066183682644006141e-02 1.004284856837310558e-01 9.661782389939434224e-02
-9.392185764117539915e-01 -8.023635046774812984e-02 -1.043440808366531414e+00 5.811581543844892422e-02 -2.570614504174710893e-02 1.150221347435912145e-01 9.261517141057155900e-02
-8.802940670329324480e-01 -2.339034435055387107e-02 -1.553340678310708656e+00 4.365065041863461781e-01 -2.063891362576257636e-03 1.317364430111690743e-01 9.815357980274018457e-02
-8.213695576541106824e-01 5.313948760043862851e-02 -1.372553982336484513e+00 2.723336274796002154e-01 -1.653514254278469486e-02 1.508795716226433714e-01 1.042615070244191228e-01
-7.624450482752889169e-01 1.015184128580493006e-02 -1.064300734409829641e+00 1.151960380518616683e-01 1.046116416024978936e-02 1.728044617927197713e-01 1.056818468817349033e-01
-7.035205388964672624e-01 -3.093418905689104825e-02 -1.306169814948470620e+00 1.042544054441304907e-01 -1.635656766364910857e-03 1.979153419798685976e-01 1.075721225855540697e-01
-6.445960295176456079e-01 -3.452411447573733305e-02 -1.737466389874547268e+00 2.398762529607088023e-01 -3.507814453531408767e-03 2.266751806327409469e-01 1.087142999755268263e-01
-5.856715201388238423e-01 2.846663683234162967e-03 -1.827660107284494906e+00 1.532701681584427988e-01 6.654566409541111741e-03 2.596142219237967952e-01 1.148071455280245956e-01
-5.267470107600021878e-01 -8.128751354989605105e-02 -1.643632808419653202e+00 9.347149003550415947e-02 5.704390319958657814e-03 2.973397618431773970e-01 1.133311805220952734e-01
-4.678225013811804778e-01 -5.838397610268497573e-03 -1.782391692105554259e+00 2.548573668858226116e-01 -1.827741136737898522e-02 3.405473448943341919e-01 1.177563789563301350e-01
-4.088979920023588788e-01 5.531986236476038599e-02 -1.789960695133397950e+00 6.952412857355301512e-02 -1.182929045645174544e-02 3.900335878245125842e-01 1.214462483208567506e-01
-3.499734826235372243e-01 1.008668403819341641e-01 -1.797259530385009407e+00 4.596286514451905503e-02 1.774208445966016928e-02 4.467108668207760425e-01 1.199990458491054374e-01
-2.910489732447154032e-01 1.270389950158434811e-01 -2.089025396755238795e+00 8.274164062250918827e-02 4.965559002250378301e-03 5.116241389589061273e-01 1.229704555253442050e-01
-2.321244638658938042e-01 1.358814479802230579e-01 -2.224820855685281096e+00 -1.726743575013907697e-02 -1.724850408192352483e-02 5.859702080416635539e-01 1.227238055857551996e-01
-1.731999544870721219e-01 1.357501953128608108e-01 -2.153977570256529805e+00 9.982127417846303752e-02 4.117246203952365166e-03 6.711197900300193142e-01 1.223956072771990727e-01
-1.142754451082503564e-01 2.667953649043988129e-01 -2.436416476565145040e+00 -8.476733080959196476e-02 -1.514103842826958982e-03 7.686427848869629154e-01 1.260934865092748769e-01
-5.535093572942868800e-02 2.496776519257150051e-01 -2.410674954347902688e+00 -1.765647493580429495e-01 9.364393662284758654e-03 8.803372207700188579e-01 1.196123670031140757e-01
3.573573649392941358e-03 3.152990477413779580e-01 -2.326160398432750576e+00 -1.756839688644439568e-01 1.083024790589238529e-03 1.008262404215570562e+00 1.201945209201638332e-01
6.249808302821469735e-02 3.808662628108411274e-01 -2.522644102780331021e+00 -3.456465532224810566e-01 -5.983487493561978621e-03 1.154776887503816907e+00 1.140438581794413625e-01
1.214225924070364004e-01 4.376470749790143389e-01 -2.676014704425778490e+00 -3.070495424476994972e-01 8.171670123784228329e-03 1.322581953207384586e+00 1.094335690893308011e-01
1.803471017858580550e-01 4.997431115639149324e-01 -2.964796936354380907e+00 -4.270955861051317082e-01 7.296289782519484179e-03 1.514771417646751717e+00 1.049267965884722043e-01
2.392716111646797927e-01 5.643681806091589426e-01 -2.903840317507628832e+00 -3.220847338574180374e-01 -1.126983989889231593e-05 1.734888671477102129e+00 9.745806130604363349e-02
2.981961205435014750e-01 6.549612775176099078e-01 -2.965130038066455143e+00 -5.453542461257778751e-01 7.235920629179170421e-03 1.986992009061980813e+00 9.614551813642437106e-02
3.571206299223231295e-01 6.883244293687076354e-01 -3.141123355259623384e+00 -7.779772632336836580e-01 3.922604238549828870e-03 2.275729451109206991e+00 8.405204901492040193e-02
4.160451393011448395e-01 7.430582010500550449e-01 -3.019229442302630240e+00 -4.469559435047302243e-01 5.061550355741774960e-04 2.606424440071446913e+00 7.784759266796682786e-02
4.749696486799664941e-01 8.065170049706302802e-01 -3.200805840128555069e+00 -5.743252999474117715e-01 7.527340690641295441e-04 2.985173988274651524e+00 7.445176292029886955e-02
5.338941580587880376e-01 8.413609459656196110e-01 -3.389904644171360726e+00 -8.628001669854147293e-01 6.592068788361339290e-03 3.418961088328082099e+00 6.661338667723723517e-02
5.928186674376098031e-01 8.678162186822523383e-01 -3.398158387921441648e+00 -8.742413339167328656e-01 -4.727539958087841054e-03 3.915783458322857236e+00 5.891078809567067837e-02
6.517431768164315686e-01 9.003280470741188424e-01 -3.515047481883862623e+00 -9.943399954746028335e-01 2.558155208524857862e-03 4.484800995489870878e+00 5.254519774051129993e-02
7.106676861952531121e-01 9.175194066742932142e-01 -3.526615060259046697e+00 -9.925232465752003019e-01 -3.255708701137675215e-03 5.136504656915215961e+00 4.497931528076249547e-02
7.695921955740748777e-01 9.353908096851871745e-01 -3.510238765458636667e+00 -8.503976098078923629e-01 2.050389932204214113e-03 5.882909880961139315e+00 4.013886982246210600e-02
8.285167049528966432e-01 9.550125576874810562e-01 -3.636446648099935341e+00 -1.105069693515331686e+00 2.019823970480854550e-03 6.737778115496695364e+00 3.571036720624571476e-02
8.874412143317181867e-01 9.619988391684668461e-01 -3.546792229471186442e+00 -1.120853421646418102e+00 2.127062585367065026e-03 7.716870537246643735e+00 2.973950673735339945e-02
9.463657237105399522e-01 9.738755092507164202e-01 -3.760811962107284412e+00 -1.080907890335603305e+00 -2.021491477002118620e-03 8.838238640073624808e+00 2.634528130166504181e-02
1.005290233089361829e+00 9.795301779874332482e-01 -3.709919546348683372e+00 -1.182391430348356254e+00 -5.618905208986750973e-06 1.012255704975989978e+01 2.217940170399464173e-02
1.064214742468183372e+00 9.833197069884371810e-01 -3.723196492173579841e+00 -1.314140195160425240e+00 8.496562742022437673e-04 1.159350470138360301e+01 1.911433398876827630e-02
1.123139251847005138e+00 9.868346190936266860e-01 -4.045025110655796396e+00 -1.554436900755691298e+00 -7.963914571957449173e-03 1.327820140704386986e+01 1.552671903403571654e-02
1.182063761225826903e+00 9.894918901131860567e-01 -3.861831394277252194e+00 -1.370296821914329000e+00 -6.440734863281250347e-03 1.520770786291917531e+01 1.253632685430220751e-02
1.240988270604648447e+00 9.930336834851500871e-01 -3.662836402963467020e+00 -1.187998406170384991e+00 1.796435400364375802e-04 1.741759831427216199e+01 1.070512045472971768e-02
1.299912779983470212e+00 9.943383238408889380e-01 -3.729712516045870618e+00 -1.815216569991026985e+00 1.229291647867439578e-03 1.994861643660631856e+01 9.081672998814800668e-03
1.358837289362291978e+00 9.954944168000534610e-01 -3.827600385185078391e+00 -1.695314570718172265e+00 1.425495447629999838e-03 2.284742652543305397e+01 6.541390362498753462e-03
