#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho
-1.279478777192769368e+00 2.168194565665788609e-01 -2.563463805849525379e+00 1.916889040116577680e+00 2.616817255814870083e-02 5.254376912142792039e-02 3.246136506398518418e-02 5.254376912142792039e-02 8.325231188098190793e-02
-1.136376397272773842e+00 -5.950854074917466541e-02 -1.437628949315125526e+00 4.238813894860446463e-01 1.299394488334655873e-01 7.305056894446010363e-02 3.377625942230224471e-02 7.305056894446010363e-02 2.478444223727704204e-02
-9.932740173527783156e-01 6.071590879529247253e-01 3.341252254952540857e-01 -4.645446109069673035e-01 4.482043981552123746e-02 1.015607694753873913e-01 4.292236566543579379e-02 1.015607694753873913e-01 3.228048523473433379e-02
-8.501716374327827896e-01 3.187397583307749471e-02 -5.362732840814541380e-01 -7.641583649111972631e-01 8.320673091991527895e-03 1.411979406248690116e-01 2.486890554428100586e-02 1.411979406248690116e-01 3.088925114054744125e-02
-7.070692575127872637e-01 8.293073294747776991e-02 -3.828217633483535498e-01 -1.329662140668232302e-02 1.582734452353583288e-02 1.963047202151772530e-01 2.594047288099924492e-02 1.963047202151772530e-01 2.267023843515159759e-02
-5.639668775927917377e-01 -8.704567088491810267e-02 -1.063739528439365672e-01 1.194416301938706626e-01 7.167166089776701686e-03 2.729185922133187669e-01 2.465194082025236669e-02 2.729185922133187669e-01 2.400169810327039410e-02
-4.208644976727962117e-01 7.502906306303358530e-02 -4.902145262966345896e-01 1.630418160158523255e-01 -1.221315148976749934e-02 3.794333518524381499e-01 2.806484525039449479e-02 3.794333518524381499e-01 2.113544305536950441e-02
-2.777621177528007412e-01 1.094120618581642113e-01 -1.080992566986395120e+00 -1.149960264972024193e-01 -1.037726226344690486e-03 5.275187275824964050e-01 2.744823733702400625e-02 5.275187275824964050e-01 1.737561711722757085e-02
-1.346597378328051875e-01 1.154341719383507048e-01 -1.684408426312373752e+00 -1.464866315722786472e-01 -2.176355302263460398e-03 7.333989133840763674e-01 2.601658214222301105e-02 7.333989133840763674e-01 1.036635645275784355e-02
8.442642087190326342e-03 1.731577072131124106e-01 -2.128833432814505322e+00 2.451350965194507361e-02 1.100837473084078765e-03 1.019630087102126881e+00 2.492236711719060874e-02 1.019630087102126881e+00 5.726041996386441527e-03
1.515450220071858090e-01 3.208359426473578191e-01 -2.585665240506496154e+00 3.249523894221625214e-02 -2.522301586672519823e-03 1.417571659230745240e+00 2.644028455901074534e-02 1.417571659230745240e+00 2.548847645800155024e-03
2.946474019271813627e-01 4.230724081279408910e-01 -2.777815478221804302e+00 -1.544767579460842588e-01 1.818785694848758456e-03 1.970822001501937315e+00 2.546182806261589743e-02 1.970822001501937315e+00 1.041897101258233965e-03
4.377497818471769442e-01 5.602229712211563850e-01 -2.948495639630751786e+00 -2.786878853156715685e-01 4.427446849179727216e-03 2.739995072779500163e+00 2.388108978665995016e-02 2.739995072779500163e+00 4.086202310317304772e-04
5.808521617671722481e-01 6.614439283652042700e-01 -3.083351685437317524e+00 -2.946907566630226349e-01 -3.664267073607005171e-03 3.809361268107678722e+00 2.118984509323785376e-02 3.809361268107678722e+00 1.492627172009404772e-04
7.239545416871678851e-01 7.727826049689391352e-01 -3.119646088848751830e+00 -2.844391839282519596e-01 -1.090871654620481721e-03 5.296080060552261770e+00 1.966582835172847252e-02 5.296080060552261770e+00 5.356115533905356175e-05
8.670569216071636331e-01 8.329238348244127899e-01 -3.011096398869199664e+00 -5.561098859556098395e-01 8.915319255517207544e-04 7.363035961593761947e+00 1.756790335077209816e-02 7.363035961593761947e+00 1.910265726149496280e-05
1.010159301527159270e+00 8.764339532408690348e-01 -3.022760602825125265e+00 -7.404859040623861244e-01 -2.485613180059644510e-04 1.023668410444490640e+01 1.363172913064143212e-02 1.023668410444490640e+01 7.363085010991999575e-06
1.153261681447154352e+00 9.108062194118455857e-01 -3.083461572468277456e+00 -6.818353334767883744e-01 -1.390859958865718312e-03 1.423186060760630944e+01 1.078423500367584227e-02 1.423186060760630944e+01 2.605945395157952940e-06
