#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho
-1.279478777192769368e+00 -3.114242696847953074e-01 -1.243185183970701324e+00 6.494280746336256183e-01 -5.270445938651443368e-02 5.254376912142792039e-02 6.462168186268907322e-02 1.319839807164868706e-01 2.331064732667493811e+00
-1.136376397272773842e+00 -4.672971735102748880e-02 -1.065337241426133064e+00 5.107642401451718550e-01 -1.083665745025532041e-02 7.305056894446010363e-02 7.915178934733071991e-02 1.834947329456444731e-01 1.834048725558500958e+00
-9.932740173527783156e-01 -6.648400774195217799e-02 -1.367504389588882985e+00 3.818256310552073929e-01 -1.334935450458906575e-02 1.015607694753873913e-01 9.048183790716042563e-02 2.551091188188979730e-01 1.155180221614421576e+00
-8.501716374327827896e-01 -3.857179818887557232e-03 -1.261933754922596629e+00 2.344527894727623796e-01 -7.998029162337782355e-03 1.411979406248690116e-01 1.017984230032724369e-01 3.546731912127038533e-01 7.447741663887550434e-01
-7.070692575127872637e-01 9.432243592394140563e-03 -1.451679288433078474e+00 1.753214641235094629e-01 5.025728402404010427e-03 1.963047202151772530e-01 1.055997567733532178e-01 4.930951631497881849e-01 5.028961343008981899e-01
-5.639668775927917377e-01 -5.883970265569304914e-02 -1.717595220847550452e+00 1.947974578625717712e-01 2.526178751906303296e-03 2.729185922133187669e-01 1.142664901841077690e-01 6.855405086873316289e-01 2.861192526370054945e-01
-4.208644976727962117e-01 3.530723327210361084e-02 -1.814671396739405473e+00 9.525943449075695291e-02 -1.013441304214128189e-02 3.794333518524381499e-01 1.200645721335707461e-01 9.530934881803398984e-01 1.621415683766526672e-01
-2.777621177528007412e-01 1.199813570748652358e-01 -2.033085418972711000e+00 4.866739088060809820e-02 1.132153739494062665e-03 5.275187275824964050e-01 1.216697431789151573e-01 1.325067134181671324e+00 8.653254774573845842e-02
-1.346597378328051875e-01 2.098292688518554883e-01 -2.285434433776971641e+00 -3.188725179337701526e-02 1.572683058258021521e-03 7.333989133840763674e-01 1.239777403306796116e-01 1.842214779413331449e+00 4.246348611924138233e-02
8.442642087190326342e-03 3.249701168885362756e-01 -2.496163776332105400e+00 -2.236804676865244146e-01 7.704642299347304638e-05 1.019630087102126881e+00 1.191396467563702044e-01 2.561194980950764144e+00 1.919010174833530105e-02
1.515450220071858090e-01 4.632299428379882400e-01 -2.731983461128318247e+00 -3.619891969817322641e-01 5.502873053037233599e-03 1.417571659230745240e+00 1.069855939100160386e-01 3.560779016514231454e+00 8.195995124519061051e-03
2.946474019271813627e-01 6.275471009273880796e-01 -2.981742921656231005e+00 -4.989565221875146839e-01 5.479489226839435838e-03 1.970822001501937315e+00 9.385410593516790856e-02 4.950481044493270311e+00 3.170812831781948723e-03
4.377497818471769442e-01 7.600670500738088142e-01 -3.170500832562175741e+00 -6.404412586187253620e-01 2.617080827667785472e-04 2.739995072779500163e+00 7.700546900951170393e-02 6.882556445717932014e+00 1.148716011546959716e-03
5.808521617671722481e-01 8.599175062423665139e-01 -3.375777338515086878e+00 -8.147558489488034850e-01 1.797650816498448309e-03 3.809361268107678722e+00 6.153978013535752606e-02 9.568682882077807150e+00 3.924263651000135626e-04
7.239545416871678851e-01 9.179815579909380574e-01 -3.513649831202183105e+00 -9.620831011121911969e-01 -1.036698795107841289e-03 5.296080060552261770e+00 4.501264861317385430e-02 1.330315164428966312e+01 1.241792784834098399e-04
8.670569216071636331e-01 9.587427804899557593e-01 -3.604078323622225799e+00 -1.039331528325046827e+00 2.730233286128237302e-03 7.363035961593761947e+00 3.264398558445504028e-02 1.849511012664446596e+01 3.873779277418142405e-05
1.010159301527159270e+00 9.785116624509800909e-01 -3.762237684471024135e+00 -1.233643322390285846e+00 -6.833282362880298061e-04 1.023668410444490640e+01 2.269200851113243114e-02 2.571338790560496079e+01 1.154901009828072099e-05
1.153261681447154352e+00 9.876102716251915492e-01 -3.803208073551942903e+00 -1.370718645931560786e+00 -6.141581381520917413e-03 1.423186060760630944e+01 1.447866722845262202e-02 3.574881755538198291e+01 3.246119762328587840e-06
