#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2 
-1.292765632684684141e+00 4.831410299214470294e-01 -2.999999999999997335e+00 -3.775889367940126196e-01 -2.834424376487731934e-02 5.096058059891731690e-02 5.400380492210388184e-02
-1.233841123305862597e+00 -1.100378274820262181e+00 -5.554369979804835822e+00 -4.287230437556456053e+01 6.051043793559074402e-02 5.836585833544889745e-02 8.189192041754722595e-03
-1.174916613927040832e+00 -4.215838121009401948e+04 -2.999999999999998224e+00 6.043988010707564307e+00 -4.891678690910339355e-04 6.684722542792351230e-02 4.785919145433581434e-07
-1.115992104548219288e+00 1.794373040741287229e-01 2.108739959609672976e+00 4.067158579065470292e+01 1.626688838005065918e-01 7.656105255454827285e-02 4.222008585929870605e-02
-1.057067595169397523e+00 2.883172668026752206e-01 -1.117517210112825010e+00 -2.442715593564307230e+00 -4.675253927707672535e-02 8.768643321749283737e-02 2.972157597541809360e-02
-9.981430857905757570e-01 7.170993663986646727e-01 -9.377168240483748640e-01 1.931960479004863229e+00 1.412815103928248030e-02 1.004284856837310558e-01 2.175942808389663696e-02
-9.392185764117539915e-01 3.811648814694016396e-01 1.286416498373637030e+00 7.331917298257671911e-01 8.182419091463088989e-02 1.150221347435912145e-01 5.020552128553390503e-02
-8.802940670329324480e-01 -8.370160465201492705e-02 4.645678365804403742e-02 -3.702752129736093245e+00 -1.445058338782366503e-02 1.317364430111690743e-01 2.654932001057793214e-02
-8.213695576541106824e-01 1.868340614893675422e-01 -2.366701402492041417e+00 -1.018655556247045207e-01 3.017316846286549267e-02 1.508795716226433714e-01 1.838170430239509032e-02
-7.624450482752889169e-01 2.874007656482565620e-01 -4.456300201951564621e-01 4.201204768931966482e-01 6.049741506576538502e-02 1.728044617927197713e-01 2.582549452781677385e-02
-7.035205388964672624e-01 -2.081029486261609662e-01 4.152820334505597510e-01 -2.937320141801054163e-01 8.279498779412471782e-03 1.979153419798685976e-01 2.060139179229736328e-02
-6.445960295176456079e-01 -4.088379945170865781e-01 -6.312047357015479476e-02 8.162818795591298970e-01 9.901203063069557303e-03 2.266751806327409469e-01 2.384693768559669608e-02
-5.856715201388238423e-01 4.683923005925016980e-02 -1.153933628123365723e-01 3.444838881566517630e-01 1.830649044778611756e-03 2.596142219237967952e-01 2.570955620871649694e-02
-5.267470107600021878e-01 7.689316311745775234e-02 -4.456300201951717277e-01 -3.667631834134296165e-01 6.619374144752070491e-03 2.973397618431773970e-01 2.618362093871494378e-02
-4.678225013811804778e-01 -4.930679500996992815e-02 -3.418153550754431946e-01 5.132949006383697999e-01 5.997852845625443498e-04 3.405473448943341919e-01 2.327404655776657560e-02
-4.088979920023588788e-01 9.245522206240075480e-02 -6.385158693481236825e-02 9.578896597141356439e-01 -3.335781361100860487e-02 3.900335878245125842e-01 3.009684734080793692e-02
-3.499734826235372243e-01 1.178681181420896396e-01 -5.145138370292711150e-01 -4.804422094572536328e-01 -8.331970323490190539e-03 4.467108668207760425e-01 3.018271168576011285e-02
-2.910489732447154032e-01 7.369259182153053978e-02 -1.166983414602056568e+00 -4.802537447265049497e-01 4.973768346449907764e-03 5.116241389589061273e-01 2.641808678122127552e-02
-2.321244638658938042e-01 1.643569220833460687e-01 -1.593745240045973732e+00 -1.610493492146184563e-02 -2.119753402092553092e-03 5.859702080416635539e-01 2.649481080630381249e-02
-1.731999544870721219e-01 1.351298195675482150e-01 -1.700560006963275139e+00 -4.855002401515606109e-02 -5.244651408057503933e-03 6.711197900300193142e-01 2.630288654584976571e-02
-1.142754451082503564e-01 5.949816161808063608e-02 -1.480163516924748679e+00 -1.923981125282150928e-01 5.198658966436618331e-03 7.686427848869629154e-01 2.614804658140270494e-02
-5.535093572942868800e-02 1.380603563553940427e-01 -1.770054359116329357e+00 -2.662439642598275064e-02 1.633229474036203667e-03 8.803372207700188579e-01 2.496488000384281328e-02
3.573573649392941358e-03 1.913635983625338044e-01 -2.343203914365332263e+00 -1.488186687276634168e-01 -3.125280315436205613e-03 1.008262404215570562e+00 2.595981486792703005e-02
6.249808302821469735e-02 2.285303633253319422e-01 -2.309655628922900661e+00 1.222115192838222758e-01 -1.301405051600274237e-03 1.154776887503816907e+00 2.397680707581327855e-02
1.214225924070364004e-01 3.056558689152629738e-01 -2.589767832529864755e+00 3.565123801258049396e-01 1.168697640515755894e-03 1.322581953207384586e+00 2.683515441206534360e-02
1.803471017858580550e-01 3.194070399067178156e-01 -2.739221898836915692e+00 -2.583313215643331939e-01 -5.066023679060989091e-03 1.514771417646751717e+00 2.641228549598316488e-02
2.392716111646797927e-01 3.982327826218649003e-01 -2.695313082894399415e+00 4.725063899675483576e-04 -2.152719805317540504e-03 1.734888671477102129e+00 2.501842730580106089e-02
2.981961205435014750e-01 4.326044072733210566e-01 -2.795514377413950147e+00 1.543055466173972982e-02 5.096394234991983956e-03 1.986992009061980813e+00 2.641567224622997853e-02
3.571206299223231295e-01 4.799123949591378446e-01 -2.854007030930004962e+00 -3.130069761942031459e-01 6.191125061598291152e-03 2.275729451109206991e+00 2.512340396748442145e-02
4.160451393011448395e-01 5.449837412508469203e-01 -2.876462949590903317e+00 -3.549414431459605446e-01 4.064883660832676812e-03 2.606424440071446913e+00 2.426465397244536443e-02
4.749696486799664941e-01 5.995237313847304739e-01 -2.963743574988094487e+00 -4.993136162510026232e-01 2.510771820131195778e-03 2.985173988274651524e+00 2.281649765611594785e-02
5.338941580587880376e-01 6.032097300840173482e-01 -3.126155293433964921e+00 -3.082580917596712267e-01 -6.346197414864700355e-03 3.418961088328082099e+00 2.118997687147181758e-02
5.928186674376098031e-01 6.950433676364324853e-01 -3.300559373174869027e+00 2.139524519816766307e-02 7.508575746958906592e-04 3.915783458322857236e+00 2.098558436740528485e-02
6.517431768164315686e-01 7.367313496916199078e-01 -2.958329711173572907e+00 -1.629946307769926939e-01 -2.570114142972470313e-03 4.484800995489870878e+00 2.131335856428283673e-02
7.106676861952531121e-01 7.725553422605893061e-01 -3.008397672230544995e+00 -4.631757187123256014e-01 -2.026053961743129895e-03 5.136504656915215961e+00 2.007762367805738038e-02
7.695921955740748777e-01 7.997303331417422445e-01 -3.265737596381746766e+00 -3.699036073655239121e-01 -5.537969000796054203e-04 5.882909880961139315e+00 1.879607145547142200e-02
8.285167049528966432e-01 8.100253853882418698e-01 -3.113836909269374953e+00 -4.273370835012948454e-01 -1.000596892158940121e-03 6.737778115496695364e+00 1.816015423468823539e-02
8.874412143317181867e-01 8.458168142245712229e-01 -3.008359573117732388e+00 -6.845543239263941482e-01 3.453127642783999050e-03 7.716870537246643735e+00 1.673808740597907199e-02
9.463657237105399522e-01 8.688499352634835304e-01 -2.827777324041264695e+00 -6.805884799201548097e-01 2.414411748231088620e-03 8.838238640073624808e+00 1.508153260385395114e-02
1.005290233089361829e+00 8.734668966757354047e-01 -2.906350704382204775e+00 -8.192433704763999458e-01 1.111359407229484206e-03 1.012255704975989978e+01 1.391551061272175253e-02
1.064214742468183372e+00 8.923306865493471074e-01 -3.218760650732995998e+00 -7.519987475438321134e-01 -4.407998031571199425e-03 1.159350470138360301e+01 1.207531447959157150e-02
1.123139251847005138e+00 9.100599730141780697e-01 -3.113229029204775955e+00 -6.699211621566565356e-01 -7.719203593238951238e-04 1.327820140704386986e+01 1.134688967750186080e-02
1.182063761225826903e+00 9.159003062800373796e-01 -2.970844967373790890e+00 -5.536821551960537935e-01 -2.484324132534940915e-03 1.520770786291917531e+01 1.006813194361929654e-02
1.240988270604648447e+00 9.327829749724304564e-01 -3.119714648964395209e+00 -6.433923963290915093e-01 -3.307854659914031669e-03 1.741759831427216199e+01 9.763958698182594736e-03
1.299912779983470212e+00 9.341811056244508915e-01 -2.882818934712909176e+00 -1.167879860173901996e+00 -1.934761899901672614e-03 1.994861643660631856e+01 8.455236034887753799e-03
1.358837289362291978e+00 9.354037666049352939e-01 -2.976895366934907194e+00 -7.511832521795632767e-01 -1.727671408635073329e-03 2.284742652543305397e+01 7.112011302072160368e-03
