#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho         
-1.087691998831055384e+00 -5.056391565427982293e-01 -9.513409940869040904e-01 -9.940789268073821350e-02 3.627941810658999542e-03 8.171616960822593312e-02 2.000746130943298340e-02 8.171616960822593312e-02 3.148549227593858135e-02
-8.257872369262934109e-01 1.868816334599685547e-01 -2.556691310011998119e-01 1.544362414704627262e-01 2.746319274107614922e-02 1.493525916316219004e-01 2.971470687124463939e-02 1.493525916316219004e-01 2.816509358305270549e-02
-5.638824750215315484e-01 -1.513731992033771068e-01 -4.028802646803408827e-01 -1.333470292848421557e-01 -4.594180764270429720e-03 2.729716374865001627e-01 2.410389128185453853e-02 2.729716374865001627e-01 2.313068861214329780e-02
-3.019777131167696860e-01 -4.371423657898110271e-02 -1.003670337538435042e+00 -9.152782285390312356e-02 -1.812776515204310738e-03 4.989100895942188418e-01 2.530014478333381112e-02 4.989100895942188418e-01 1.732521684420766650e-02
-4.007295121200771942e-02 -6.831027160760760886e-02 -1.956536712182189719e+00 -2.385298945990473873e-01 -1.242200212121853664e-03 9.118576559486750721e-01 2.158460048139396875e-02 9.118576559486750721e-01 6.893765092084498496e-03
2.218318106927542055e-01 -6.897070323405585235e-02 -2.610316396747779155e+00 -3.555594383851626850e-01 3.680275273506074013e-04 1.666601662412735996e+00 1.897486855080305485e-02 1.666601662412735996e+00 1.636161297575557854e-03
4.837365725975161235e-01 -5.504042890917837383e-02 -2.962798824255508556e+00 -5.791961590284725458e-01 -6.184987046929930725e-04 3.046046806798136330e+00 1.405719257414406870e-02 3.046046806798136330e+00 2.959019940188998502e-04
7.456413345022779859e-01 -4.774972557628975878e-02 -3.069383018421306453e+00 -7.340310454414333829e-01 6.356763481795539312e-04 5.567257826787955111e+00 9.436051700391603209e-03 5.567257826787955111e+00 4.590752444988970449e-05
1.007546096407039737e+00 -5.596017540323128259e-02 -3.034601184476061864e+00 -8.421881988699366772e-01 1.365912613887554231e-03 1.017527361718764034e+01 5.799708180443115951e-03 1.017527361718764034e+01 7.300890494130606852e-06
1.269450858311801600e+00 -8.869563799217150546e-02 -3.019604293025780262e+00 -8.845838045280770556e-01 -4.234193718951681637e-04 1.859734116973173812e+01 3.416993182638417524e-03 1.859734116973173812e+01 1.181220220644567816e-06
1.531355620216563906e+00 -7.970342762072180065e-02 -3.116563012523950071e+00 -1.010417747633035823e+00 -4.789206052728148082e-04 3.399034872135383978e+01 1.995504541992616961e-03 3.399034872135383978e+01 1.912838691092853906e-07
1.793260382121325769e+00 -2.884353093588831740e-02 -3.340855152529675909e+00 -1.233712751665608787e+00 -1.523688662233497679e-03 6.212413891076156602e+01 1.010130938765905215e-03 6.212413891076156602e+01 2.753248969127970339e-08
2.055165144026087631e+00 3.274331817253117727e-03 -3.136064872351761235e+00 -3.946149878983712389e-01 -2.488839211973785815e-03 1.135442494880611122e+02 4.506322109721389198e-04 1.135442494880611122e+02 3.401782958094211608e-09
2.317069905930849494e+00 5.932655337203560642e-01 -2.374214065094927495e+00 2.207934371806369089e+00 1.381935533487571935e-02 2.075247531450898464e+02 6.275879324607128986e-04 2.075247531450898464e+02 6.268228761921852237e-10
2.578974667835611356e+00 9.123971824171163147e-01 -2.120897010677567529e+00 3.012795020562421211e+00 7.043590279158479239e-02 3.792928603791494879e+02 6.461885874856731007e-03 3.792928603791494879e+02 1.941201696858826913e-10
2.840879429740373219e+00 9.741479510568314959e-01 -2.603683757774982066e+00 1.767872918559378226e+00 1.437125511418760049e-01 6.932333215884656283e+02 2.375775006861468447e-02 6.932333215884656283e+02 4.855106765675800471e-11
3.102784191645135081e+00 9.924327303759173935e-01 -3.190890607179129645e+00 1.408338097790711174e+00 2.256516938162322072e-01 1.267022104450334609e+03 5.449892742799060386e-02 1.267022104450334609e+03 8.399168867673492286e-12
3.364688953549896944e+00 9.976247862296164781e-01 -4.288668920888112801e+00 1.426130981362563999e+00 3.542034522282859754e-01 2.315735500837276959e+03 1.298692156524799413e-01 2.315735500837276959e+03 1.034617679111712835e-12
