#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2 
-1.233841123305862597e+00 4.413673621991947016e-01 -3.000000000000005773e+00 2.534709095297386749e+00 1.685804873704910278e-02 5.836585833544889745e-02 1.811865484341979027e-03
-1.174916613927040832e+00 8.601345723697642054e-01 -4.494210651153685454e+00 -1.744690401770868249e+01 -4.457674920558929443e-03 6.684722542792351230e-02 7.047877646982669830e-03
-1.115992104548219288e+00 -2.981121214099002614e+01 -1.939840671348848300e+00 -2.495471394585766500e+00 -2.683812752366065979e-03 7.656105255454827285e-02 1.592301972171602037e-05
-1.057067595169397523e+00 3.503618898359669442e-01 4.425274071999377057e+00 2.134440102029393316e+01 -4.835244119167328436e-02 8.768643321749283737e-02 3.580712899565696890e-03
-9.981430857905757570e-01 -3.415788614966193126e-01 1.870904092194566992e+00 1.515046911472327062e+00 -9.853800758719444275e-03 1.004284856837310558e-01 5.217256024479866028e-03
-9.392185764117539915e-01 -1.990162835470346003e-01 -6.998809566332703236e-01 -1.283782237090616229e+00 1.591049879789352417e-02 1.150221347435912145e-01 5.401523783802986145e-03
-8.802940670329324480e-01 -8.426058913711940157e-01 1.561830325823697872e-02 -1.975643528232658985e+00 -9.769518570653323245e-04 1.317364430111690743e-01 3.682558649572832861e-03
-8.213695576541106824e-01 -3.852045473438237000e-01 -7.187310074642134783e-01 1.477728517427087995e+00 8.519570316587175493e-03 1.508795716226433714e-01 3.160011342593601821e-03
-7.624450482752889169e-01 8.985781936244996437e-03 -8.455488241252953618e-02 1.469598800894121426e+00 3.502627588667959558e-04 1.728044617927197713e-01 5.499187505470131895e-03
-7.035205388964672624e-01 -1.329751936166470028e-01 -2.725852307109110084e-01 4.657096000129782865e-01 -1.077797067792791996e-02 1.979153419798685976e-01 4.708465776945415342e-03
-6.445960295176456079e-01 -6.892367372128638259e-02 -9.729819439023199568e-01 7.680985391513867055e-01 -3.867906873876398276e-03 2.266751806327409469e-01 6.239962035959416807e-03
-5.856715201388238423e-01 9.366923260382487015e-02 -1.213419418839849717e+00 -1.174377497976654972e-01 7.433192875549082812e-03 2.596142219237967952e-01 5.799613836157412744e-03
-5.267470107600021878e-01 1.476525795066159219e-01 -9.439514701095401417e-02 2.403697094573259141e-01 1.767461052101649503e-03 2.973397618431773970e-01 6.044244498349307833e-03
-4.678225013811804778e-01 2.020606634222681386e-01 -7.043451327121431627e-01 -6.774184272759881109e-01 -2.790318548887033446e-03 3.405473448943341919e-01 6.190509746298972563e-03
-4.088979920023588788e-01 6.928546047970329802e-02 -1.305185982969128133e+00 -1.208346253229061418e+00 -5.525374340506839302e-03 3.900335878245125842e-01 5.029316034922066796e-03
-3.499734826235372243e-01 -3.877266065844309217e-02 -1.254020848946993949e+00 1.602551152530943823e-01 -2.303297561695922570e-03 4.467108668207760425e-01 4.459888399435034921e-03
-2.910489732447154032e-01 1.177923199339704352e-01 -1.470705012278835211e+00 4.648397354700603001e-01 2.161295176001367269e-03 5.116241389589061273e-01 5.252848012748186253e-03
-2.321244638658938042e-01 1.318972792807524552e-01 -1.487294068355234922e+00 -7.041036049767278315e-02 1.551134270525048129e-03 5.859702080416635539e-01 5.059468520607316930e-03
-1.731999544870721219e-01 1.839459571868442556e-01 -2.011715765093843089e+00 -4.380497889740875284e-01 -2.391976118087768815e-03 6.711197900300193142e-01 5.153437852859496862e-03
-1.142754451082503564e-01 1.889364389009806633e-02 -2.147360815568001957e+00 1.089783745603763870e-01 -4.379707349169758256e-03 7.686427848869629154e-01 4.492428361174789428e-03
-5.535093572942868800e-02 2.433880950776812213e-01 -2.298786735675757864e+00 3.040702083518017629e-01 4.689447463504851595e-04 8.803372207700188579e-01 5.308111508687336950e-03
3.573573649392941358e-03 2.279756066786625679e-01 -2.478752395897104499e+00 2.251116708149874385e-02 7.588589498790369219e-04 1.008262404215570562e+00 4.878828319177223698e-03
6.249808302821469735e-02 3.237656156935004859e-01 -2.570857967533519695e+00 4.114920434716304309e-02 4.326480919692559366e-04 1.154776887503816907e+00 5.340635725180719121e-03
1.214225924070364004e-01 3.108276551026438739e-01 -2.546234271812684469e+00 -3.071765234429493230e-01 -3.255655335598304449e-03 1.322581953207384586e+00 4.933611291353819615e-03
1.803471017858580550e-01 3.523090145301422949e-01 -2.883945274767255817e+00 2.192733356535735145e-01 6.440061698501018111e-05 1.514771417646751717e+00 4.913517471859678992e-03
2.392716111646797927e-01 4.218942485694823219e-01 -2.958106670069531319e+00 -1.995776189411575807e-01 -1.043105049678690315e-03 1.734888671477102129e+00 5.236077630586146239e-03
2.981961205435014750e-01 4.559014765966956650e-01 -2.726271339029858964e+00 -5.351252178801944037e-01 2.802668565727142128e-03 1.986992009061980813e+00 4.654494035674865311e-03
3.571206299223231295e-01 4.484702159673179533e-01 -2.789515418641934641e+00 -6.366151056625763555e-03 -3.055177255366052589e-03 2.275729451109206991e+00 4.528371985331397856e-03
4.160451393011448395e-01 4.688411757411189429e-01 -2.937972140640253915e+00 -5.439389019190318114e-02 7.592995848458997457e-04 2.606424440071446913e+00 4.646460328298815910e-03
4.749696486799664941e-01 5.608875942737043818e-01 -2.994757926708587092e+00 -8.356050163439295020e-02 -1.776648743417143846e-03 2.985173988274651524e+00 4.462023244723624035e-03
5.338941580587880376e-01 6.253568706148866507e-01 -2.866074309436396739e+00 -2.426199856389151810e-01 -1.837776804512197479e-03 3.418961088328082099e+00 4.542288455096158035e-03
5.928186674376098031e-01 6.125002175010004768e-01 -2.851135567861953657e+00 -5.539791445905583034e-01 4.119837367451274594e-03 3.915783458322857236e+00 4.177719729763644356e-03
6.517431768164315686e-01 6.721583664841292993e-01 -2.721928869048583888e+00 -3.991608984630902746e-01 5.093095735183029429e-04 4.484800995489870878e+00 3.908308271171288643e-03
7.106676861952531121e-01 6.899779239214598459e-01 -2.716850807725866179e+00 -3.189755829211599059e-01 -4.694526761422361305e-05 5.136504656915215961e+00 3.748854465212494210e-03
7.695921955740748777e-01 7.063583588166721938e-01 -2.950119306169610045e+00 -5.074292041320540569e-01 4.881652788655033203e-04 5.882909880961139315e+00 3.584246355298946213e-03
8.285167049528966432e-01 7.319554481706440630e-01 -2.898904019549819910e+00 -6.108606628453718823e-01 7.726706073441264207e-04 6.737778115496695364e+00 3.266619476689334393e-03
8.874412143317181867e-01 7.329198346198166902e-01 -3.021294821451908863e+00 -5.588934181654510169e-01 2.948054522917031481e-04 7.716870537246643735e+00 3.036746380881583107e-03
9.463657237105399522e-01 7.336507391487285812e-01 -2.934853451181663520e+00 -5.423050523853145677e-01 -1.654058809906359181e-04 8.838238640073624808e+00 2.806942435305090789e-03
1.005290233089361829e+00 7.626375275373648011e-01 -2.597990441904286740e+00 -5.497248289024940782e-01 -1.868469559628030375e-04 1.012255704975989978e+01 2.621189407680345543e-03
1.064214742468183372e+00 7.846439700969930486e-01 -2.663978483646050943e+00 -6.881125179042354434e-01 2.275703824192405744e-03 1.159350470138360301e+01 2.417959234168332635e-03
1.123139251847005138e+00 8.063708310291998194e-01 -2.662718274373691241e+00 -9.701295759380791361e-01 1.160805122854954071e-03 1.327820140704386986e+01 2.174728366216724818e-03
1.182063761225826903e+00 8.058738196109631602e-01 -2.860393271877855970e+00 -9.504418919771839835e-01 1.776701026743747512e-03 1.520770786291917531e+01 1.858318523710310007e-03
1.240988270604648447e+00 8.041750093273620781e-01 -2.938386411757660355e+00 -7.989943768946790037e-01 -9.500746261288912453e-05 1.741759831427216199e+01 1.680336940060755306e-03
1.299912779983470212e+00 8.057559505172077197e-01 -3.131485122846014324e+00 -7.709120983082784484e-01 -7.078442655036882702e-04 1.994861643660631856e+01 1.496095968490434571e-03
1.358837289362291978e+00 8.222076542649745523e-01 -2.967682017615322909e+00 -9.368895754797831321e-01 -5.467162273897983307e-04 2.284742652543305397e+01 1.363154685143196836e-03
