#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho
-1.279478777192769368e+00 2.392464126630879928e-01 -3.882949010523512046e-01 -1.755003582989761446e-01 -4.970218621048272910e-03 5.254376912142792039e-02 1.671897313174079344e-02 8.327626198679957681e-02 1.387538531349698512e-01
-1.136376397272773842e+00 1.622805968006317823e-01 -4.354050332749698771e-01 2.064085922108069016e-01 1.181356945345478707e-02 7.305056894446010363e-02 1.478438992654123631e-02 1.157773494254860508e-01 1.270202664660448344e-01
-9.932740173527783156e-01 -9.740538698265743811e-02 -7.467365724106340696e-01 3.444365028278460472e-01 7.094170679064358033e-03 1.015607694753873913e-01 1.915511313606711036e-02 1.609629721626539278e-01 1.041429940311071889e-01
-8.501716374327827896e-01 -4.342906486535058619e-02 -7.120851263926424313e-01 -8.544099719930054251e-03 -2.651580554597517928e-04 1.411979406248690116e-01 1.855165993466096827e-02 2.237836548858833929e-01 7.765214522832064592e-02
-7.070692575127872637e-01 1.133238330730201859e-02 -7.487295569725423983e-01 1.061687283267152976e-01 -3.126195012306680430e-03 1.963047202151772530e-01 1.904756039989238120e-02 3.111220147170179473e-01 6.513702310944965990e-02
-5.639668775927917377e-01 -8.548932797363084646e-02 -1.094780620745761546e+00 1.489469624435779127e-01 8.665965842802490424e-04 2.729185922133187669e-01 1.989613734107923554e-02 4.325468188949595505e-01 4.740929476834102041e-02
-4.208644976727962117e-01 9.592425026222484163e-04 -1.410304182583239863e+00 1.151187389500648861e-01 3.820084182778319022e-03 3.794333518524381499e-01 2.101206274567466933e-02 6.013613363436316472e-01 3.165894817498862701e-02
-2.777621177528007412e-01 3.422530555556135834e-02 -1.757589312130765746e+00 -7.755273827740336023e-02 2.500516314189384515e-04 5.275187275824964050e-01 2.146427882161267703e-02 8.360608402412471607e-01 1.871663302163481188e-02
-1.346597378328051875e-01 3.136232804001992669e-03 -2.103021529672016054e+00 -2.773771288413138802e-01 2.235817246083225598e-03 7.333989133840763674e-01 1.996515683786195816e-02 1.162358945180800518e+00 9.941823642721689044e-03
8.442642087190326342e-03 1.362519332469191990e-02 -2.462827449239358479e+00 -4.106599795470474157e-01 -2.338816980922213754e-03 1.019630087102126881e+00 1.787844104198989259e-02 1.616004783876693107e+00 4.680938695281819037e-03
1.515450220071858090e-01 -9.268273883404010149e-03 -2.903653424309451392e+00 -5.246401585139636170e-01 3.134053015037345752e-04 1.417571659230745240e+00 1.523140216885378317e-02 2.246699672540613424e+00 1.961521696812272737e-03
2.946474019271813627e-01 7.552172183722949406e-03 -3.343942734951693030e+00 -6.633424931774701827e-01 1.291468445683868760e-03 1.970822001501937315e+00 1.265246475155833508e-02 3.123542373733006805e+00 6.907064671878480021e-04
4.377497818471769442e-01 -5.544668974866162614e-03 -3.639369248441329141e+00 -8.121758858302724482e-01 7.671816060755495825e-04 2.739995072779500163e+00 9.837576133442597903e-03 4.342599538225223377e+00 2.165413245386062203e-04
5.808521617671722481e-01 1.279813883487912474e-02 -3.930224500118361775e+00 -8.983233924944729054e-01 3.583318659650406370e-05 3.809361268107678722e+00 7.408435970686582002e-03 6.037430741448894800e+00 6.276083610644539283e-05
7.239545416871678851e-01 1.760130613191690507e-02 -4.160167865795126652e+00 -9.806692671086827406e-01 4.433855799658284794e-04 5.296080060552261770e+00 5.442315006971955652e-03 8.393721234698320544e+00 1.624395694709001380e-05
8.670569216071636331e-01 -7.129174125016235486e-02 -4.368786348025604838e+00 -9.582909050701352571e-01 -6.696779235413982288e-04 7.363035961593761947e+00 3.881989171788367571e-03 1.166962557137632217e+01 4.046027923826300608e-06
1.010159301527159270e+00 2.767832086758570398e-02 -4.559046343923697897e+00 -1.030884745458716223e+00 -6.639485098528754474e-04 1.023668410444490640e+01 2.894118152623111843e-03 1.622405095050962132e+01 9.126922908630245563e-07
1.153261681447154352e+00 -2.270352829134969497e-02 -4.627646739943857668e+00 -1.257541143802102912e+00 2.997021502559187077e-04 1.423186060760630944e+01 1.967932502677561830e-03 2.255597899305072573e+01 2.005432790700332176e-07
