#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2 
-1.292765632684684141e+00 -1.246124408922374194e+00 -4.277184989902420575e+00 3.771838300474040229e-01 -2.276371605694293976e-02 5.096058059891731690e-02 1.036373898386955261e-03
-1.174916613927040832e+00 -8.932985179695322131e+00 9.540422805638212322e-01 2.712845812994668648e+00 -8.848366327583789825e-03 6.684722542792351230e-02 1.565869752084836364e-04
-1.115992104548219288e+00 -2.600990273208807491e-01 4.663109939414511018e+00 4.531657261861647079e+00 1.035677269101142883e-02 7.656105255454827285e-02 3.126624971628189087e-03
-1.057067595169397523e+00 -1.342368463510041909e+00 -4.456300201951786111e-01 1.124167186471098479e+00 -4.769352575143178015e-03 8.768643321749283737e-02 5.355585987369219101e-04
-9.981430857905757570e-01 4.386784687454990950e-01 -3.492086803853207577e+00 -3.133620149497158280e+00 -2.178068188103762619e-03 1.004284856837310558e-01 4.241874272173101409e-03
-9.392185764117539915e-01 -4.214509671399382995e+01 -1.267953481431200569e+00 1.649254560583492069e+00 -5.322504788637161255e-03 1.150221347435912145e-01 2.288299874635413289e-04
-8.802940670329324480e-01 5.642258349263771233e-01 1.540667434811731518e+00 1.208800831533492115e+01 -2.318347201627843357e-02 1.317364430111690743e-01 6.636220742674434937e-03
-8.213695576541106824e-01 6.814751966872734101e-02 8.939136913651221650e-02 -8.756857256206812545e-02 2.347323417663574330e-02 1.508795716226433714e-01 6.082370281219482734e-03
-7.624450482752889169e-01 4.897167919832864369e-01 2.517602258481074218e-01 -7.945476785112950413e-01 9.372047687831676702e-03 1.728044617927197713e-01 6.480387166926735235e-03
-7.035205388964672624e-01 1.700111096790000165e-01 1.929069248934090763e-01 -1.691413959593495164e+00 -3.240446418018664513e-03 1.979153419798685976e-01 4.902709843748707073e-03
-6.445960295176456079e-01 -4.751829569094254690e-01 3.766934410408751543e-01 7.729374838063590714e-01 3.009009227324067979e-03 2.266751806327409469e-01 4.095146830162305247e-03
-5.856715201388238423e-01 2.053557865263287985e-01 -1.830131848124127991e-01 9.860566466363893667e-01 -1.323255161716513405e-03 2.596142219237967952e-01 6.046807112759106269e-03
-5.267470107600021878e-01 3.477112005220528435e-02 -7.363681547283832396e-01 -4.954214893874833714e-01 -3.771354336487619217e-03 2.973397618431773970e-01 5.351496997632478221e-03
