#           logr                   beta                      gamma                  kappa                  VR_average                  r                  sigmarad2                  r_r2                   rho
-1.279478777192769368e+00 -2.733338610927664725e-01 -1.191566046072207730e+00 4.603764846869745075e-01 2.379353557314191348e-02 5.254376912142792039e-02 5.730849674769809832e-02 9.343750275447421094e-02 2.314414270291297093e+00
-1.136376397272773842e+00 -4.007416768417249031e-02 -1.072742050174663619e+00 7.229071930494407328e-01 1.103689619525127785e-02 7.305056894446010363e-02 7.972022007000191535e-02 1.299043226455621758e-01 2.019932042338078659e+00
-9.932740173527783156e-01 4.398875126751589093e-02 -1.465817235745244584e+00 2.530715710482197012e-01 -4.246000801363299278e-03 1.015607694753873913e-01 9.228231829981649315e-02 1.806034252257909256e-01 1.141345727942392418e+00
-8.501716374327827896e-01 1.362977895620287594e-02 -1.289622591952074293e+00 7.295999915939850589e-02 5.753317804240861387e-03 1.411979406248690116e-01 9.418869443827515564e-02 2.510893905531029202e-01 7.687991394980696613e-01
-7.070692575127872637e-01 3.142606134613223912e-02 -1.529123401543972083e+00 2.079050250773854247e-01 1.150284162762119956e-02 1.963047202151772530e-01 9.682778457631623092e-02 3.490846420521012128e-01 4.878890750550935462e-01
-5.639668775927917377e-01 7.111579518737087824e-03 -1.659260256370419517e+00 1.451451319050463540e-01 -2.406993257358726844e-03 2.729185922133187669e-01 1.080195055237978818e-01 4.853255131497538621e-01 2.806535194055677085e-01
-4.208644976727962117e-01 1.811672049437740295e-02 -1.792344358875788801e+00 -4.294940415441281245e-02 -1.171445047101051309e-02 3.794333518524381499e-01 1.065469992489605916e-01 6.747385170812447708e-01 1.634680606186214580e-01
-2.777621177528007412e-01 -3.055742981089526467e-02 -2.037374752191831728e+00 -6.243853451788304587e-02 2.317488330115426674e-03 5.275187275824964050e-01 1.050049714043998217e-01 9.380756916698849146e-01 8.613764735671053385e-02
-1.346597378328051875e-01 3.704404697794161372e-02 -2.230261055186074870e+00 -2.136520562684070534e-01 -3.228656807640575832e-03 7.333989133840763674e-01 1.022518130058574226e-01 1.304188187015822287e+00 4.269003968613567512e-02
8.442642087190326342e-03 5.500756950306018300e-02 -2.533081955230562787e+00 -3.252802512775087029e-01 -4.557243114644731093e-03 1.019630087102126881e+00 9.121402611055204335e-02 1.813187189749905670e+00 1.980987231061827336e-02
1.515450220071858090e-01 1.179211675517225499e-01 -2.774488778560106894e+00 -3.905788970997522980e-01 -2.849395361836483203e-04 1.417571659230745240e+00 8.252285810037229830e-02 2.520838493864746788e+00 8.041673676902418716e-03
2.946474019271813627e-01 1.701833595030330937e-01 -2.963795698452267313e+00 -4.610601512941129854e-01 1.566938423713363365e-03 1.970822001501937315e+00 7.051411930480520895e-02 3.504672186122594013e+00 3.182803167895762505e-03
4.377497818471769442e-01 3.298309255375949656e-01 -3.181135866981861238e+00 -5.302030460460710470e-01 6.843083479631724983e-04 2.739995072779500163e+00 6.089991003440588246e-02 4.872476821531884994e+00 1.140496639083677646e-03
5.808521617671722481e-01 4.691355540556799708e-01 -3.361704939722937269e+00 -6.561068831881063934e-01 -1.708480854560633045e-03 3.809361268107678722e+00 4.971980888803857745e-02 6.774108708475646168e+00 3.911592050300992623e-04
7.239545416871678851e-01 6.184468618915925919e-01 -3.521834700757025427e+00 -7.914645941886087055e-01 6.446954255195020463e-04 5.296080060552261770e+00 3.952171100410119958e-02 9.417910125597778404e+00 1.244394419580379079e-04
8.670569216071636331e-01 7.542772661463620354e-01 -3.644390511245241715e+00 -9.207128505851778222e-01 -4.067162560004443025e-03 7.363035961593761947e+00 2.951267100612397706e-02 1.309353524587832851e+01 3.840499386718673752e-05
1.010159301527159270e+00 8.610139551572196792e-01 -3.675370759093709694e+00 -1.138171582500789203e+00 1.462422415489108294e-03 1.023668410444490640e+01 2.154385105305274203e-02 1.820368457000710549e+01 1.126979831193118015e-05
1.153261681447154352e+00 9.208768482655568244e-01 -3.736229486945649381e+00 -1.347462593253613949e+00 2.706596164459558734e-03 1.423186060760630944e+01 1.393985935837587301e-02 2.530822468505033385e+01 3.407839203249965585e-06
