#log(r)	rho	sigma2	sigma2r	beta	gamma	kappa	dlnbetadlnr
  -0.959176003468815	   0.246783504478926	   0.140678291353153	   0.047594696281430	   0.022122186458393	  -0.319120903990573	  -0.038151689164031	   0.460309929776040
  -0.811217203295374	   0.191707628754156	   0.141390556524003	   0.049647702769769	   0.076061442563893	  -0.932958036571204	   0.095239810185394	   1.082644366192659
  -0.663258403121934	   0.122544771016777	   0.144565842818913	   0.050879225951120	   0.079323485013336	  -1.481882205596549	   0.130974313030780	   1.546729115628334
  -0.515299602948493	   0.065564389945178	   0.145321674834071	   0.054276648985248	   0.161287334876101	  -2.030135530572220	   0.165143904655241	   1.544133757399968
  -0.367340802775052	   0.030085904158057	   0.142498730659713	   0.057105540904800	   0.252321329927755	  -2.494554117436742	   0.044262525130577	   0.998349454662192
  -0.219382002601611	   0.013431535140956	   0.130413369699057	   0.056032428370997	   0.336268804596727	  -2.618774119833410	  -0.096677339605380	   0.776979882176133
  -0.071423202428170	   0.005652768692272	   0.113746732043447	   0.053342667171957	   0.433810980272423	  -2.834461725124608	  -0.187746409158125	   0.625704606470757
   0.076535597745270	   0.002301736132011	   0.095715546958100	   0.049075750781479	   0.524818312160973	  -2.981649699299713	  -0.299167059147761	   0.450789499776125
   0.224494397918711	   0.000885521585199	   0.077819215820293	   0.043144168715301	   0.598149087843073	  -3.212689788761244	  -0.364418719039897	   0.338445179897790
   0.372453198092152	   0.000325569987715	   0.063684166599183	   0.038154351307017	   0.665440317845602	  -3.373312383462776	  -0.427971676937813	   0.289130292713715
   0.520411998265593	   0.000122641226422	   0.048860118458930	   0.031801516593793	   0.731795780637920	  -3.341355437825328	  -0.369262252342697	   0.269967270373055
   0.668370798439033	   0.000040917704907	   0.041835741269546	   0.029997204923983	   0.802672676078276	  -3.783544931009364	  -0.383829259260490	   0.190284323339593
   0.816329598612474	   0.000015102306184	   0.031521202607993	   0.023803645911809	   0.837891289326494	  -3.369532568072595	  -0.664116993814774	   0.128467479356678
   0.964288398785915	   0.000005569412478	   0.023677243014610	   0.019016162115842	   0.877444226906200	  -3.307904180198466	  -0.829257118186452	   0.091640062595539
   1.112247198959356	   0.000002305022000	   0.015580453898027	   0.012849775742420	   0.893746077350135	  -3.012311404234059	  -0.999582102149276	   0.047475169971524
